Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,9.880000,10.250000,9.550000,9.930000,9.930000,124934
2018-01-02,9.950000,10.250000,9.750000,10.030000,10.030000,94423
2018-01-03,10.030000,10.090000,9.630000,9.760000,9.760000,62788
2018-01-04,10.000000,10.200000,9.600000,10.020000,10.020000,72682
2018-01-05,10.000000,10.190000,9.820000,9.990000,9.990000,38627
2018-01-08,9.990000,10.200000,9.920000,10.000000,10.000000,63054
2018-01-09,10.000000,10.090000,9.900000,9.920000,9.920000,23769
2018-01-10,9.920000,9.920000,9.110000,9.500000,9.500000,31486
2018-01-11,10.100000,10.100000,9.460000,9.750000,9.750000,27208
2018-01-12,9.510000,9.900000,9.450000,9.470000,9.470000,33727
2018-01-15,9.990000,9.990000,8.820000,9.650000,9.650000,8996
2018-01-16,9.500000,9.650000,9.010000,9.100000,9.100000,18453
2018-01-17,8.300000,9.500000,8.300000,9.080000,9.080000,8358
2018-01-18,9.110000,9.700000,8.900000,8.910000,8.910000,12088
2018-01-19,9.150000,9.150000,8.670000,8.920000,8.920000,5303
2018-01-22,8.100000,9.750000,8.100000,9.270000,9.270000,10975
2018-01-23,9.270000,9.700000,8.500000,9.390000,9.390000,14550
2018-01-24,9.350000,9.500000,8.950000,8.970000,8.970000,8067
2018-01-25,9.200000,9.200000,8.650000,8.670000,8.670000,8553
2018-01-29,9.200000,9.200000,8.500000,8.630000,8.630000,15471
2018-01-30,8.990000,8.990000,8.500000,8.810000,8.810000,8992
2018-01-31,9.400000,9.400000,8.450000,8.510000,8.510000,19421
2018-02-01,9.000000,9.000000,8.450000,8.790000,8.790000,1596
2018-02-02,8.010000,9.000000,8.000000,8.070000,8.070000,22989
2018-02-05,8.750000,8.750000,7.290000,7.800000,7.800000,8726
2018-02-06,7.300000,8.500000,7.260000,8.020000,8.020000,11987
2018-02-07,8.300000,8.300000,7.900000,8.210000,8.210000,12128
2018-02-08,8.230000,8.480000,8.040000,8.300000,8.300000,10128
2018-02-09,7.700000,8.450000,7.520000,8.100000,8.100000,13882
2018-02-12,7.510000,8.450000,7.500000,7.920000,7.920000,5923
2018-02-14,8.190000,8.190000,7.700000,8.170000,8.170000,15104
2018-02-15,8.240000,8.240000,7.600000,7.980000,7.980000,11439
2018-02-16,7.890000,8.270000,7.700000,8.000000,8.000000,10450
2018-02-19,7.060000,8.500000,7.060000,8.310000,8.310000,4241
2018-02-20,8.450000,8.450000,7.500000,8.180000,8.180000,4682
2018-02-21,8.190000,8.190000,7.500000,7.550000,7.550000,3575
2018-02-22,7.990000,8.380000,7.990000,8.180000,8.180000,10999
2018-02-23,8.500000,8.500000,7.510000,8.020000,8.020000,16683
2018-02-26,7.000000,8.440000,7.000000,7.800000,7.800000,3972
2018-02-27,7.400000,8.250000,7.400000,7.660000,7.660000,744
2018-02-28,7.450000,8.120000,7.450000,7.950000,7.950000,5562
2018-03-01,8.000000,8.000000,7.500000,7.500000,7.500000,11833
2018-03-05,8.000000,8.000000,7.500000,7.660000,7.660000,3368
2018-03-06,8.000000,8.850000,7.450000,7.600000,7.600000,4233
2018-03-07,8.500000,8.500000,6.550000,7.500000,7.500000,22144
2018-03-08,8.000000,8.000000,6.760000,7.380000,7.380000,791
2018-03-09,8.000000,8.000000,6.300000,6.890000,6.890000,9766
2018-03-12,6.750000,7.280000,6.500000,6.510000,6.510000,18667
2018-03-13,7.500000,7.500000,6.520000,6.900000,6.900000,234
2018-03-14,6.500000,7.750000,6.110000,6.900000,6.900000,584
2018-03-15,7.500000,7.500000,6.400000,6.410000,6.410000,4490
2018-03-16,6.800000,6.850000,6.300000,6.310000,6.310000,2148
2018-03-19,7.500000,7.500000,6.000000,6.350000,6.350000,6232
2018-03-20,6.880000,6.900000,6.100000,6.850000,6.850000,3520
2018-03-21,7.050000,7.050000,5.750000,6.120000,6.120000,343
2018-03-22,5.500000,6.470000,5.000000,5.550000,5.550000,16900
2018-03-23,5.800000,6.390000,5.500000,5.950000,5.950000,9591
2018-03-26,5.600000,5.780000,4.830000,5.400000,5.400000,4591
2018-03-27,5.900000,5.950000,4.610000,5.900000,5.900000,14162
2018-03-28,5.700000,6.400000,5.700000,6.090000,6.090000,3714
2018-04-02,6.090000,6.400000,6.090000,6.390000,6.390000,10974
2018-04-03,6.350000,6.500000,6.350000,6.500000,6.500000,820
2018-04-04,5.200000,7.100000,5.200000,6.990000,6.990000,822
2018-04-05,8.000000,8.000000,5.650000,7.310000,7.310000,11083
2018-04-06,6.250000,7.900000,6.250000,7.280000,7.280000,6151
2018-04-09,7.900000,7.900000,7.500000,7.710000,7.710000,9358
2018-04-10,6.800000,7.850000,6.800000,7.240000,7.240000,20463
2018-04-11,6.310000,7.620000,6.300000,6.880000,6.880000,10817
2018-04-12,6.500000,7.390000,6.500000,7.330000,7.330000,10276
2018-04-13,7.200000,7.600000,7.150000,7.380000,7.380000,23896
2018-04-16,7.980000,7.980000,6.120000,7.010000,7.010000,3981
2018-04-17,7.300000,7.600000,7.000000,7.410000,7.410000,4839
2018-04-18,7.590000,7.590000,6.900000,7.210000,7.210000,10352
2018-04-19,6.780000,7.600000,6.780000,7.400000,7.400000,12267
2018-04-20,6.300000,7.700000,6.300000,7.390000,7.390000,16544
2018-04-23,6.750000,7.390000,6.750000,6.930000,6.930000,12690
2018-04-24,6.700000,7.150000,6.700000,7.110000,7.110000,5300
2018-04-25,6.660000,7.400000,6.660000,6.770000,6.770000,1574
2018-04-26,7.500000,7.500000,6.700000,6.990000,6.990000,4551
2018-04-27,6.700000,6.940000,6.610000,6.670000,6.670000,8910
2018-04-30,6.970000,6.970000,6.290000,6.360000,6.360000,13710
2018-05-02,6.350000,6.940000,6.050000,6.160000,6.160000,3618
2018-05-03,5.520000,6.090000,5.070000,5.830000,5.830000,8650
2018-05-04,5.830000,6.800000,5.510000,6.270000,6.270000,8000
2018-05-07,6.270000,7.490000,5.800000,6.050000,6.050000,4060
2018-05-08,5.610000,6.990000,5.610000,6.410000,6.410000,27743
2018-05-09,7.050000,7.050000,5.900000,6.070000,6.070000,20290
2018-05-10,6.340000,6.950000,5.990000,6.270000,6.270000,15573
2018-05-11,6.200000,6.950000,6.000000,6.240000,6.240000,34785
2018-05-14,6.240000,6.550000,6.000000,6.010000,6.010000,12345
2018-05-15,6.000000,6.350000,5.610000,5.950000,5.950000,9237
2018-05-16,6.000000,6.000000,5.620000,5.690000,5.690000,1663
2018-05-17,6.000000,6.440000,5.980000,6.340000,6.340000,5784
2018-05-18,5.680000,6.240000,5.210000,5.880000,5.880000,3446
2018-05-21,5.600000,6.100000,5.600000,6.000000,6.000000,3105
2018-05-22,5.560000,6.200000,5.560000,5.720000,5.720000,7918
2018-05-23,5.350000,5.810000,5.350000,5.570000,5.570000,3526
2018-05-24,5.790000,5.860000,5.500000,5.860000,5.860000,317
2018-05-25,5.060000,6.890000,4.850000,5.730000,5.730000,7617
2018-05-28,6.240000,6.480000,5.760000,6.480000,6.480000,11549
2018-05-29,5.770000,6.480000,5.770000,6.470000,6.470000,139
2018-05-30,6.390000,6.390000,6.010000,6.340000,6.340000,2190
2018-05-31,6.440000,7.600000,6.440000,6.820000,6.820000,13667
2018-06-01,7.590000,7.590000,6.500000,7.150000,7.150000,9130
2018-06-04,7.950000,7.950000,6.500000,6.510000,6.510000,4603
2018-06-05,6.930000,6.930000,6.200000,6.700000,6.700000,2136
2018-06-06,7.000000,7.000000,6.350000,7.000000,7.000000,2719
2018-06-07,6.410000,7.490000,6.410000,6.880000,6.880000,19105
2018-06-08,7.590000,7.590000,6.610000,6.710000,6.710000,8867
2018-06-11,7.240000,7.240000,6.570000,6.880000,6.880000,7578
2018-06-12,7.880000,7.880000,6.540000,7.120000,7.120000,15907
2018-06-13,7.870000,7.870000,6.600000,6.820000,6.820000,10003
2018-06-14,7.230000,7.230000,6.300000,6.670000,6.670000,9942
2018-06-15,6.990000,6.990000,6.740000,6.970000,6.970000,10390
2018-06-18,6.630000,7.200000,6.630000,6.900000,6.900000,337
2018-06-19,6.560000,7.130000,6.560000,7.000000,7.000000,1634
2018-06-20,6.990000,6.990000,6.990000,6.990000,6.990000,25
2018-06-21,6.650000,6.990000,6.650000,6.950000,6.950000,1982
2018-06-22,7.240000,7.240000,6.610000,7.010000,7.010000,6204
2018-06-25,7.050000,7.050000,6.710000,6.710000,6.710000,284
2018-06-26,6.400000,7.020000,6.400000,7.000000,7.000000,7618
2018-06-27,6.650000,7.170000,6.650000,6.840000,6.840000,1838
2018-06-28,6.500000,6.830000,6.500000,6.790000,6.790000,3150
2018-06-29,6.770000,6.770000,6.770000,6.770000,6.770000,1001
2018-07-02,6.770000,7.100000,6.520000,7.010000,7.010000,5076
2018-07-03,6.990000,6.990000,6.660000,6.980000,6.980000,6030
2018-07-04,6.980000,6.980000,6.980000,6.980000,6.980000,0
2018-07-05,6.970000,7.050000,6.870000,6.870000,6.870000,4200
2018-07-06,7.210000,7.210000,6.750000,7.010000,7.010000,11696
2018-07-09,7.360000,7.360000,6.660000,7.080000,7.080000,6820
2018-07-10,7.000000,7.040000,6.850000,7.000000,7.000000,6765
2018-07-11,7.340000,7.340000,6.650000,7.000000,7.000000,3682
2018-07-12,7.120000,7.120000,6.710000,7.070000,7.070000,3826
2018-07-13,6.720000,7.200000,6.720000,7.180000,7.180000,15726
2018-07-16,6.830000,6.830000,6.830000,6.830000,6.830000,723
2018-07-17,6.490000,7.080000,6.490000,6.490000,6.490000,644
2018-07-18,6.170000,6.790000,6.170000,6.790000,6.790000,510
2018-07-19,6.700000,7.120000,6.460000,6.480000,6.480000,9619
2018-07-20,6.480000,6.800000,6.170000,6.800000,6.800000,3002
2018-07-23,6.460000,6.800000,6.460000,6.800000,6.800000,202
2018-07-24,6.800000,6.800000,6.800000,6.800000,6.800000,0
2018-07-25,6.460000,6.970000,6.460000,6.940000,6.940000,8058
2018-07-26,6.600000,7.220000,6.600000,6.960000,6.960000,6255
2018-07-27,6.630000,6.930000,6.620000,6.850000,6.850000,7440
2018-07-30,6.510000,6.510000,6.510000,6.510000,6.510000,6334
2018-07-31,6.510000,6.510000,6.510000,6.510000,6.510000,20
2018-08-01,6.790000,6.790000,6.790000,6.790000,6.790000,100
2018-08-02,6.460000,7.120000,6.460000,7.090000,7.090000,3330
2018-08-03,7.090000,7.090000,6.740000,6.850000,6.850000,4763
2018-08-06,6.510000,7.060000,6.510000,7.010000,7.010000,2978
2018-08-07,7.360000,7.360000,6.660000,6.720000,6.720000,1757
2018-08-08,6.390000,6.450000,6.390000,6.400000,6.400000,4600
2018-08-09,6.720000,6.720000,6.720000,6.720000,6.720000,8288
2018-08-10,6.720000,6.990000,6.390000,6.500000,6.500000,2470
2018-08-13,6.180000,6.800000,6.180000,6.650000,6.650000,17017
2018-08-14,6.940000,6.950000,6.650000,6.670000,6.670000,6038
2018-08-16,7.000000,7.000000,6.670000,6.980000,6.980000,5084
2018-08-17,6.790000,6.970000,6.660000,6.660000,6.660000,950
2018-08-20,6.660000,6.920000,6.350000,6.890000,6.890000,2056
2018-08-21,7.230000,7.230000,6.620000,6.800000,6.800000,5347
2018-08-23,6.710000,6.940000,6.460000,6.460000,6.460000,3569
2018-08-24,6.140000,6.700000,6.140000,6.610000,6.610000,4500
2018-08-27,6.320000,6.580000,6.280000,6.530000,6.530000,7277
2018-08-28,6.210000,6.480000,6.210000,6.470000,6.470000,7615
2018-08-29,6.150000,6.770000,6.150000,6.740000,6.740000,9225
2018-08-30,6.450000,7.040000,6.410000,7.020000,7.020000,14451
2018-08-31,7.360000,7.360000,6.670000,6.840000,6.840000,7326
2018-09-03,6.510000,7.100000,6.500000,6.530000,6.530000,24336
2018-09-04,6.400000,6.790000,6.250000,6.270000,6.270000,3413
2018-09-05,6.560000,6.570000,6.100000,6.490000,6.490000,14376
2018-09-06,6.780000,6.780000,6.190000,6.270000,6.270000,14797
2018-09-07,6.390000,6.580000,6.210000,6.550000,6.550000,7095
2018-09-10,6.840000,6.840000,6.380000,6.740000,6.740000,372
2018-09-11,6.710000,6.900000,6.410000,6.800000,6.800000,7325
2018-09-12,6.780000,7.000000,6.460000,6.790000,6.790000,4010
2018-09-14,6.500000,6.500000,6.460000,6.460000,6.460000,3218
2018-09-17,6.600000,6.600000,6.140000,6.140000,6.140000,8175
2018-09-18,6.300000,6.300000,5.900000,6.250000,6.250000,3440
2018-09-19,5.940000,6.400000,5.940000,6.350000,6.350000,813
2018-09-21,6.060000,6.400000,6.040000,6.040000,6.040000,6734
2018-09-24,6.290000,6.290000,5.800000,6.050000,6.050000,12197
2018-09-25,6.350000,6.350000,5.750000,5.770000,5.770000,10245
2018-09-26,5.520000,6.050000,5.520000,6.050000,6.050000,1673
2018-09-27,5.780000,5.800000,5.750000,5.750000,5.750000,1214
2018-09-28,5.470000,5.470000,5.470000,5.470000,5.470000,1152
2018-10-01,5.650000,5.650000,5.570000,5.580000,5.580000,10786
