Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,857.700012,862.049988,851.049988,852.450012,829.715881,472607
2018-01-02,854.099976,858.450012,840.599976,845.150024,822.610535,1181949
2018-01-03,863.900024,869.400024,853.000000,856.299988,833.463196,2606556
2018-01-04,864.400024,897.450012,853.099976,892.900024,869.087036,3028931
2018-01-05,895.000000,913.950012,893.500000,909.700012,885.439026,4036882
2018-01-08,911.000000,930.000000,906.750000,926.099976,901.401611,2112170
2018-01-09,925.000000,938.500000,917.250000,932.950012,908.068970,2419079
2018-01-10,932.500000,935.400024,911.900024,917.599976,893.128296,1605433
2018-01-11,916.900024,917.700012,903.299988,906.900024,882.713684,1597329
2018-01-12,906.000000,917.400024,892.450012,903.799988,879.696350,1874518
2018-01-15,909.000000,921.900024,897.700012,918.250000,893.761047,2195562
2018-01-16,927.000000,927.500000,882.599976,889.400024,865.680420,2383484
2018-01-17,892.799988,895.549988,862.500000,893.099976,869.281677,2553841
2018-01-18,897.750000,903.599976,875.000000,885.849976,862.225037,1285534
2018-01-19,879.099976,897.549988,879.099976,891.450012,867.675842,1483177
2018-01-22,890.000000,912.000000,887.099976,909.750000,885.487671,1495629
2018-01-23,910.700012,914.700012,898.299988,905.700012,881.545776,1747166
2018-01-24,905.700012,909.250000,881.000000,886.900024,863.247131,1109233
2018-01-25,882.000000,905.299988,876.750000,884.099976,860.521729,3104669
2018-01-29,887.400024,901.500000,880.500000,896.200012,872.299072,1151570
2018-01-30,899.250000,911.599976,878.349976,884.150024,860.570374,2101888
2018-01-31,883.000000,884.950012,859.400024,869.549988,846.359863,1431670
2018-02-01,877.500000,879.099976,812.750000,831.000000,808.837830,6097492
2018-02-02,810.000000,849.750000,784.150024,822.200012,800.272644,8088986
2018-02-05,810.000000,816.750000,795.200012,802.299988,780.903198,3079541
2018-02-06,765.000000,788.400024,752.700012,782.650024,761.777344,3188895
2018-02-07,785.000000,801.000000,780.000000,783.650024,762.750671,2686877
2018-02-08,785.099976,808.900024,780.799988,800.750000,779.394592,2219546
2018-02-09,790.099976,804.000000,783.049988,796.799988,775.549988,1564899
2018-02-12,803.000000,812.799988,796.549988,809.049988,787.473267,2067452
2018-02-14,814.000000,825.900024,809.099976,813.700012,791.999207,2154852
2018-02-15,822.700012,823.299988,800.000000,814.849976,793.118591,2225089
2018-02-16,820.000000,826.900024,798.650024,803.200012,781.779297,1698333
2018-02-19,805.000000,809.000000,790.000000,803.950012,782.509338,1699508
2018-02-20,803.950012,837.900024,797.650024,832.250000,810.054626,3881439
2018-02-21,837.950012,841.500000,818.750000,822.900024,800.953918,2067029
2018-02-22,825.000000,836.000000,814.049988,817.500000,795.697937,3244314
2018-02-23,822.200012,823.599976,810.250000,814.200012,792.485901,2446637
2018-02-26,819.950012,823.349976,805.000000,819.700012,797.839294,2438241
2018-02-27,825.000000,835.700012,819.250000,822.599976,800.661865,2089446
2018-02-28,819.799988,825.900024,810.400024,816.150024,794.383972,1583674
2018-03-01,814.000000,822.299988,808.000000,810.200012,788.592651,975986
2018-03-05,810.000000,814.849976,801.000000,808.900024,787.327332,1262568
2018-03-06,812.500000,823.200012,799.049988,807.650024,786.110596,1358775
2018-03-07,806.000000,820.099976,800.200012,814.849976,793.118591,1826249
2018-03-08,820.000000,822.299988,808.049988,817.700012,795.892578,1109489
2018-03-09,820.000000,827.599976,815.500000,819.099976,797.255310,1061685
2018-03-12,824.000000,831.599976,822.400024,829.099976,806.988525,1033715
2018-03-13,836.000000,860.000000,830.000000,851.950012,829.229187,2754435
2018-03-14,851.000000,867.849976,849.950012,865.000000,841.931152,1889040
2018-03-15,864.900024,875.750000,860.000000,872.500000,849.231079,2486538
2018-03-16,879.000000,883.400024,862.099976,879.250000,855.801086,2538310
2018-03-19,879.700012,891.849976,864.000000,869.000000,845.824524,2536517
2018-03-20,867.000000,880.000000,860.099976,871.750000,848.501099,1985478
2018-03-21,875.000000,884.700012,869.599976,872.250000,848.987854,1859947
2018-03-22,873.000000,892.000000,872.250000,887.549988,863.879700,3186401
2018-03-23,874.099976,900.000000,872.849976,895.049988,871.179688,4132765
2018-03-26,896.450012,949.799988,896.450012,939.049988,914.006348,5918775
2018-03-27,948.450012,949.500000,932.349976,942.400024,917.266968,2756923
2018-03-28,938.200012,964.000000,918.000000,942.299988,917.169617,11431588
2018-04-02,943.099976,948.500000,926.299988,944.099976,918.921509,2764385
2018-04-03,944.900024,951.700012,924.549988,931.950012,907.095703,2454365
2018-04-04,939.700012,939.700012,902.000000,904.349976,880.231689,2930774
2018-04-05,915.000000,924.000000,902.650024,920.049988,895.513000,4148653
2018-04-06,922.000000,946.000000,908.049988,940.299988,915.222900,2819200
2018-04-09,950.000000,971.799988,947.049988,960.650024,935.030334,5116819
2018-04-10,964.849976,968.900024,953.099976,962.250000,936.587585,2434826
2018-04-11,967.000000,981.400024,958.099976,979.950012,953.815491,3452488
2018-04-12,982.250000,993.000000,971.349976,976.049988,950.019470,4379096
2018-04-13,986.049988,994.799988,980.500000,987.150024,960.823486,3311755
2018-04-16,986.000000,991.900024,973.299988,980.500000,954.350769,2247785
2018-04-17,985.000000,999.000000,974.099976,997.599976,970.994751,2983704
2018-04-18,999.700012,999.700012,975.099976,977.099976,951.041443,2621345
2018-04-19,978.500000,983.000000,949.200012,952.750000,927.340942,3347181
2018-04-20,950.000000,965.400024,947.049988,956.549988,931.039551,2201052
2018-04-23,960.000000,973.200012,948.599976,962.950012,937.268982,2295872
2018-04-24,966.000000,971.299988,954.250000,961.950012,936.295593,1473491
2018-04-25,961.750000,968.000000,955.099976,960.849976,935.224792,1385599
2018-04-26,963.500000,972.450012,955.000000,969.500000,943.644226,1859223
2018-04-27,972.000000,978.000000,963.599976,970.000000,944.130859,1049687
2018-04-30,970.500000,984.900024,968.000000,981.799988,955.616150,1083840
2018-05-02,981.950012,985.450012,960.400024,964.500000,938.777588,1027474
2018-05-03,964.799988,977.750000,951.000000,959.349976,933.764832,1585290
2018-05-04,961.000000,966.000000,952.349976,958.099976,932.548157,958663
2018-05-07,962.000000,980.900024,957.299988,968.950012,943.108948,1987395
2018-05-08,978.950012,978.950012,963.000000,968.099976,942.281555,1979745
2018-05-09,974.900024,995.599976,971.000000,985.700012,959.412170,4201827
2018-05-10,991.400024,993.849976,965.549988,973.099976,947.148193,3434978
2018-05-11,990.000000,991.849976,952.000000,956.049988,930.552917,5712581
2018-05-14,960.000000,962.000000,917.049988,920.000000,895.464355,3754208
2018-05-15,925.000000,944.450012,909.250000,931.000000,906.170898,3154028
