Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,314.000000,317.700012,311.850006,313.200012,300.043274,233185
2018-01-02,312.500000,314.250000,307.350006,311.649994,298.558380,302706
2018-01-03,311.700012,316.350006,311.600006,315.799988,302.534027,765302
2018-01-04,316.500000,318.500000,313.200012,317.100006,303.779449,220111
2018-01-05,316.799988,337.950012,316.799988,333.049988,319.059387,1705113
2018-01-08,338.000000,341.299988,331.899994,333.399994,319.394714,778798
2018-01-09,333.100006,344.700012,327.600006,341.100006,326.771271,809473
2018-01-10,341.100006,342.250000,335.500000,339.750000,325.477936,398013
2018-01-11,340.000000,343.700012,335.500000,342.600006,328.208221,407783
2018-01-12,343.149994,344.500000,337.600006,340.649994,326.340118,374010
2018-01-15,343.950012,343.950012,335.000000,335.950012,321.837616,4602441
2018-01-16,334.000000,338.500000,328.000000,333.899994,319.873688,470267
2018-01-17,336.000000,343.750000,331.250000,342.500000,328.112427,653618
2018-01-18,350.000000,356.500000,333.100006,340.250000,325.956940,2419109
2018-01-19,348.000000,352.000000,339.250000,348.299988,333.668762,1659646
2018-01-22,349.000000,358.000000,349.000000,355.250000,340.326843,663569
2018-01-23,358.000000,360.500000,352.200012,358.850006,343.775635,659804
2018-01-24,359.000000,366.000000,355.500000,364.799988,349.475677,773702
2018-01-25,365.000000,365.000000,356.500000,363.500000,348.230286,892824
2018-01-29,360.000000,363.750000,355.600006,357.549988,342.530212,346356
2018-01-30,355.549988,360.850006,352.000000,353.450012,338.602478,3995380
2018-01-31,354.000000,356.700012,350.600006,354.450012,339.560486,588375
2018-02-01,355.000000,366.500000,352.250000,359.149994,344.062988,2826458
2018-02-02,355.000000,355.799988,341.549988,350.000000,335.297394,1007643
2018-02-05,340.000000,348.799988,333.000000,344.100006,329.645203,390768
2018-02-06,330.000000,343.000000,324.000000,338.549988,324.328400,558853
2018-02-07,346.000000,346.000000,331.149994,333.200012,319.203125,1199152
2018-02-08,333.899994,340.200012,331.600006,335.049988,320.975372,554734
2018-02-09,331.799988,331.799988,324.000000,325.549988,311.874451,755284
2018-02-12,325.250000,336.200012,325.250000,334.950012,320.879608,515571
2018-02-14,336.000000,337.899994,319.000000,320.200012,306.749207,745556
2018-02-15,321.200012,328.750000,318.100006,319.950012,306.509735,549837
2018-02-16,325.000000,325.000000,309.450012,311.899994,298.797882,775630
2018-02-19,312.149994,316.850006,307.700012,312.600006,299.468475,454212
2018-02-20,312.700012,316.000000,307.799988,309.299988,296.307098,359300
2018-02-21,309.600006,313.799988,304.649994,312.149994,299.037384,759707
2018-02-22,312.000000,317.399994,308.500000,316.399994,303.108856,1183658
2018-02-23,316.000000,325.899994,316.000000,323.600006,310.006409,792988
2018-02-26,328.000000,328.000000,319.600006,325.399994,311.730743,458560
2018-02-27,326.600006,333.700012,325.250000,327.049988,313.311432,573057
2018-02-28,323.799988,325.000000,318.200012,322.250000,308.713074,621400
2018-03-01,320.700012,325.799988,318.000000,320.750000,307.276123,417240
2018-03-05,319.850006,319.850006,311.750000,313.350006,300.186981,1250068
2018-03-06,315.600006,320.399994,310.000000,313.000000,299.851654,539197
2018-03-07,311.250000,314.899994,308.000000,312.899994,299.755829,608132
2018-03-08,312.000000,312.950012,295.000000,307.799988,294.870087,1409397
2018-03-09,309.100006,312.000000,301.799988,303.450012,290.702850,849904
2018-03-12,305.000000,314.950012,301.700012,311.450012,298.366791,564233
2018-03-13,309.000000,315.600006,309.000000,313.100006,299.947479,1105287
2018-03-14,313.000000,321.549988,308.500000,318.899994,305.503784,671415
2018-03-15,318.899994,320.799988,311.200012,312.399994,299.276825,1562026
2018-03-16,313.950012,316.899994,310.000000,312.899994,299.755829,995004
2018-03-19,320.000000,320.000000,302.549988,304.850006,292.044037,624419
2018-03-20,304.000000,305.649994,300.100006,302.049988,289.361664,1725022
2018-03-21,304.399994,308.799988,300.100006,300.600006,287.972565,626423
2018-03-22,302.000000,303.600006,296.100006,298.250000,285.721283,710603
2018-03-23,294.000000,294.000000,285.100006,286.700012,274.656494,920180
2018-03-26,285.200012,304.899994,285.200012,302.950012,290.223846,1467866
2018-03-27,306.049988,309.000000,301.000000,303.399994,290.654938,729758
2018-03-28,303.000000,307.000000,299.200012,304.899994,292.091949,2468765
2018-04-02,305.000000,308.399994,303.549988,306.200012,293.337311,341869
2018-04-03,306.000000,314.000000,304.600006,312.649994,299.516357,1207279
2018-04-04,312.649994,320.000000,304.000000,305.649994,292.810425,746674
2018-04-05,312.000000,315.100006,308.100006,312.850006,299.707977,896331
2018-04-06,313.200012,316.000000,311.899994,314.200012,301.001282,1348657
2018-04-09,315.149994,319.899994,314.500000,316.100006,302.821472,1199927
2018-04-10,318.100006,320.700012,315.200012,319.200012,305.791199,1240115
2018-04-11,320.000000,320.000000,310.500000,312.000000,298.893646,1419103
2018-04-12,312.000000,313.450012,308.100006,311.450012,298.366791,679436
2018-04-13,314.799988,315.100006,305.899994,309.399994,296.402893,809652
2018-04-16,308.350006,311.000000,303.299988,310.350006,297.312988,981114
2018-04-17,312.000000,314.000000,307.000000,307.950012,295.013824,653777
2018-04-18,309.200012,313.600006,308.600006,309.250000,296.259186,1383302
2018-04-19,310.000000,319.000000,309.000000,318.000000,304.641602,1494564
2018-04-20,318.899994,318.899994,306.049988,308.450012,295.492828,1610632
2018-04-23,310.000000,317.000000,309.149994,313.049988,299.899536,1318064
2018-04-24,313.049988,328.649994,313.049988,323.399994,309.814789,2384803
2018-04-25,324.000000,328.350006,317.799988,325.200012,311.539185,1143904
2018-04-26,328.899994,361.200012,323.700012,352.049988,337.261261,3867851
2018-04-27,364.799988,368.750000,345.450012,348.450012,333.812531,2606966
2018-04-30,350.000000,367.000000,349.500000,362.049988,346.841187,1432875
2018-05-02,362.850006,364.399994,351.500000,354.250000,339.368835,575456
2018-05-03,355.000000,359.299988,346.799988,354.000000,339.129333,738772
2018-05-04,353.700012,357.850006,344.500000,345.399994,330.890625,625176
2018-05-07,346.549988,349.899994,342.750000,347.500000,332.902405,385598
2018-05-08,348.549988,353.950012,340.399994,343.350006,328.926758,791487
2018-05-09,344.100006,349.799988,343.149994,347.850006,333.237732,466952
2018-05-10,348.000000,350.500000,343.299988,344.700012,330.220032,351826
2018-05-11,345.149994,351.600006,342.350006,349.950012,335.249512,463428
2018-05-14,349.950012,353.750000,343.350006,344.649994,330.172089,359152
2018-05-15,345.000000,354.500000,344.000000,345.649994,331.130127,695243
2018-05-16,346.000000,356.000000,342.000000,349.500000,334.818359,470416
2018-05-17,350.350006,351.500000,344.299988,345.299988,330.794830,317705
2018-05-18,343.450012,348.700012,343.450012,345.450012,330.938507,855300
2018-05-21,346.500000,349.250000,333.299988,334.149994,320.113190,428906
2018-05-22,333.149994,340.600006,330.799988,334.700012,320.640106,509376
2018-05-23,333.000000,338.700012,331.649994,333.600006,319.586334,373854
2018-05-24,335.149994,336.899994,325.700012,330.500000,316.616486,465650
2018-05-25,333.899994,340.850006,332.149994,339.450012,325.190582,426669
2018-05-28,342.000000,347.899994,340.799988,344.600006,330.124207,368280
2018-05-29,346.149994,346.149994,335.200012,338.450012,324.232605,395036
2018-05-30,337.399994,344.000000,332.799988,343.149994,328.735138,409884
2018-05-31,345.500000,348.000000,337.549988,346.200012,331.657043,493020
2018-06-01,348.000000,348.600006,340.149994,342.250000,327.872955,1318909
2018-06-04,347.000000,350.100006,341.100006,343.000000,331.204285,5312720
2018-06-05,343.000000,343.000000,334.100006,336.700012,327.700531,350630
2018-06-06,338.100006,340.500000,333.000000,339.049988,329.987701,366735
2018-06-07,341.500000,345.399994,338.100006,339.600006,330.523041,472777
2018-06-08,339.600006,340.000000,335.250000,337.600006,328.576477,519112
2018-06-11,339.799988,344.850006,333.399994,335.700012,326.727264,1214059
2018-06-12,335.700012,337.799988,331.350006,332.399994,323.515472,536758
2018-06-13,333.100006,336.399994,331.700012,333.100006,324.196777,540385
2018-06-14,333.000000,338.399994,330.799988,337.000000,327.992523,492595
2018-06-15,336.850006,336.850006,328.799988,330.549988,321.714905,452223
2018-06-18,331.000000,333.700012,327.600006,331.250000,322.396210,329023
2018-06-19,331.250000,334.250000,328.600006,330.399994,321.568939,237525
2018-06-20,330.700012,337.100006,330.700012,335.899994,326.921906,386180
2018-06-21,335.950012,337.600006,331.399994,332.899994,324.002106,228975
2018-06-22,334.000000,336.000000,329.450012,335.200012,326.240631,240543
