Date,HDFCBANK.BO,ICICIBANK.BO,INFY.BO,LT.BO,ONGC.BO,RELIANCE.BO,TATAMOTORS.BO,TATASTEEL.BO,TCS.BO,WIPRO.BO
01-01-2018,928.5,310.5499878,517.2750244,1261.800049,192.3999939,911.5499878,425.3999939,689.5211182,1327.324951,238.312561
02-01-2018,936.3499756,309.25,514.75,1249.099976,196.9499969,911.4000244,438.8500061,694.6660767,1316.875,239.1750641
03-01-2018,926.3250122,315.0499878,509.5499878,1276.150024,193.6999969,916.3499756,433.2000122,698.6677246,1317.599976,232.6500549
04-01-2018,928.6500244,314.7999878,507.6499939,1315.400024,199.3500061,920.25,429.7000122,724.8213501,1324.900024,233.625061
05-01-2018,930.2249756,312.6000061,506.0499878,1314.5,197.6999969,923,430.7999878,733.9202881,1342.224976,232.312561
08-01-2018,929.8499756,314.1499939,517.8250122,1338.099976,197.1499939,928.4500122,433.7000122,732.6340332,1353.875,233.2875519
09-01-2018,931.7750244,312.1499939,520.6500244,1332.800049,196.8999939,940.9000244,436.5499878,735.8258667,1354.224976,238.200058
10-01-2018,931.25,312,525.7999878,1323.849976,197.3500061,941.5,432.5,735.3970947,1403.550049,244.5375671
11-01-2018,935.0499878,309.4500122,537.7999878,1320.300049,197.75,937.2000122,434.4500122,735.1589355,1394.199951,240.7875671
12-01-2018,932.8250122,317.6000061,539.2000122,1329.199951,200.25,946.75,436.1499939,734.6348877,1386.449951,239.062561
15-01-2018,947.3250122,329.4500122,540.2000122,1323.099976,196.5500031,947.5999756,431.75,746.2110596,1373.599976,237.3375549
16-01-2018,951.8499756,334.1499939,561.4500122,1323.25,197.1000061,923.5,421.7999878,730.1091919,1425.425049,248.9250641
17-01-2018,945.5499878,343.1000061,576.125,1352.25,195.6499939,924.6500244,422.75,737.6837769,1444.724976,244.312561
18-01-2018,965.9000244,346.1000061,576.375,1358.800049,194.0500031,919.2999878,418.7999878,716.3416748,1455.050049,244.5375671
19-01-2018,975.5999756,353.5499878,571.625,1371.949951,193.6000061,929.3499756,418.9500122,716.151123,1477.375,246.3375549
22-01-2018,981.9000244,351.2999878,575.1500244,1398.949951,199.9499969,971.2000122,421.5499878,716.579834,1556.574951,240.6000671
23-01-2018,975.6500244,362.0499878,587.5999756,1409.550049,207.1499939,981.7000122,418.0499878,743.2098389,1551.550049,236.325058
24-01-2018,979.8499756,352.6499939,592.5750122,1400.400024,210.5,964.5499878,403.6000061,727.3461914,1587.300049,235.312561
25-01-2018,985.125,358.2999878,585.4000244,1412.949951,208.25,964.5499878,400.2000122,732.6817017,1558.925049,233.9625549
29-01-2018,999.7750244,357.2999878,590.75,1428.300049,204.9499969,963.7999878,399.2999878,745.7822876,1597.550049,233.9625549
30-01-2018,999.4249878,352.6000061,584.8499756,1429.099976,203.8000031,949.25,396.2000122,738.9223633,1576.849976,230.7750549
31-01-2018,1003.174988,352.9500122,575.3250122,1416.599976,203.3500061,961.1500244,399.25,705.0499878,1555.875,228.4875641
01-02-2018,996.125,345.75,572.25,1455.800049,195.1000061,944.0999756,394.6499939,696.2999878,1569.449951,225.937561
02-02-2018,974.4000244,334.7999878,570.8499756,1414.400024,192.4499969,905.7000122,384.0499878,669.7000122,1574.574951,225.375061
05-02-2018,956.9749756,331.6499939,569.1500244,1362.75,188.8500061,904.4500122,396.0499878,664.5499878,1553.25,223.9125519
06-02-2018,948.7249756,330.75,554.2249756,1354,185.6499939,892.75,374.4500122,664.9500122,1497.675049,221.1750488
07-02-2018,935.7000122,332.25,554.375,1332.650024,189.8000031,894,377.5,660.5499878,1477.675049,217.0875549
08-02-2018,940.0250244,334.5499878,567.2750244,1347.25,188.5500031,903.5999756,374.8500061,671.3499756,1483.125,217.200058
09-02-2018,926.2999878,326.75,555.9000244,1329.349976,187.75,897.9500122,369.2000122,683.6500244,1486.150024,213.7500458
12-02-2018,938.2750244,326,551.9000244,1351.050049,190.8500061,914.7000122,372.4500122,712.5,1483.949951,215.9250488
14-02-2018,942.1749878,318.5499878,549.0250244,1357.699951,185.8500061,932.4000244,376.8500061,708.3499756,1455.224976,219.750061
15-02-2018,940.625,328.6000061,557.0750122,1350.150024,188.3999939,934.0499878,376.1499939,699.8499756,1462.875,218.6625519
16-02-2018,939.875,321,562.4249878,1327.949951,186.6000061,921.7000122,370.5499878,688.2999878,1468.599976,218.0250549
19-02-2018,937.375,319.75,565,1296.75,184.9499969,925.8499756,367.75,648.25,1462.275024,217.5375519
20-02-2018,931.8499756,317.6499939,567.3499756,1290.449951,187,919.4000244,368.8999939,650.75,1472.525024,218.512558
21-02-2018,929.6749878,319.2999878,574.3499756,1283.150024,190.1000061,928.3499756,364.3500061,640.5499878,1521.525024,219.187561
22-02-2018,927.4749756,318,580.25,1291.25,186.1999969,923.9000244,358.5499878,637.8499756,1520.199951,219.3000488
23-02-2018,939.9000244,321.2999878,577.8250122,1302.349976,190,934,360.4500122,677.7999878,1538.449951,220.6125488
26-02-2018,954.9749756,327,570.5250244,1339.199951,190.75,938.5999756,372.0499878,680.25,1517.625,218.9250488
27-02-2018,952.125,319.6499939,574.1500244,1337.800049,188.3999939,949.9500122,372.8500061,671.8499756,1521.625,219.3000488
28-02-2018,941.9000244,313.5,587.125,1319.099976,188.5,952.4500122,370.2000122,671.7000122,1519.125,219.6000519
01-03-2018,938.875,305.25,580.125,1313.199951,189.5500031,947.7000122,370.8500061,675.2999878,1518.550049,219.000061
05-03-2018,936.0250244,303.1000061,576.5499878,1301.75,185.5,924.2000122,352.1499939,655.3499756,1552.150024,217.9125519
06-03-2018,925.9749756,295.1000061,573.4249878,1284.199951,185.25,910.9000244,346.6000061,660.5,1524.900024,214.6125488
07-03-2018,917.2249756,286.7000122,571.4000244,1263.099976,180.9499969,891.5499878,348,648,1514.625,213.9000549
08-03-2018,925.7249756,296.9500122,578.3499756,1283.25,180.1499939,911.5999756,345.8999939,635.2000122,1500.75,213.7500458
09-03-2018,926.5999756,292.7000122,581.7000122,1290.150024,179.6499939,912.0499878,341.7000122,605.5999756,1517.25,213.9000549
12-03-2018,933.3499756,300.7000122,592.9249878,1309.849976,183.6499939,929.3499756,352.2000122,622.7000122,1525.925049,218.062561
13-03-2018,929.9500122,304,590.2750244,1302.150024,183.3999939,930.5999756,353.75,628.2999878,1446.224976,221.6625519
14-03-2018,932.6749878,306.3500061,590.0999756,1302.449951,180.6000061,928.5999756,354.1499939,620.4500122,1443.050049,220.012558
15-03-2018,940.0499878,301.4500122,591.0750122,1295.050049,181.5,912.25,353.0499878,611.4000244,1434.574951,219.937561
16-03-2018,928.75,298.1000061,586.25,1267.599976,177.3999939,900.5,340.1000061,600.5,1412.75,221.812561
19-03-2018,924.8250122,295,573.5750122,1279.699951,176.6000061,895.2999878,335.75,575.0499878,1414.425049,216.0375519
20-03-2018,919.5999756,291.75,581.0499878,1293.699951,174.1000061,889.5499878,339.25,593.2999878,1429.574951,220.312561
21-03-2018,928.8250122,289.6000061,584.2999878,1308.400024,175.4499969,896.3499756,333.8999939,582.3499756,1427.300049,221.6625519
22-03-2018,934.1500244,283.5499878,579.4000244,1294.5,178.6999969,907.2999878,338.2000122,580.5499878,1414.974976,216.937561
