Date,HDFCBANK.BO,ICICIBANK.BO,INFY.BO,LT.BO,ONGC.BO,RELIANCE.BO,TATAMOTORS.BO,TATASTEEL.BO,TCS.BO,WIPRO.BO
01-01-2018,1003.174988,352.9500122,575.3250122,1416.599976,203.3500061,961.1500244,399.25,705.0499878,1555.875,228.4875641
01-02-2018,941.9000244,313.5,587.125,1319.099976,188.5,952.4500122,370.2000122,671.7000122,1519.125,219.6000519
01-03-2018,945.7249756,278.3999939,567.2000122,1311.900024,177.8000031,882.7999878,327.4500122,570.9000244,1424.650024,211.0875549
01-04-2018,972.2999878,284.4500122,599.7000122,1400.599976,180.5,963.0999756,340.2000122,594.7000122,1765.699951,209.0625458
01-05-2018,1068.074951,285.6000061,615.9500122,1367.599976,177.3500061,921.2999878,282.8999939,575.4500122,1744.800049,196.4250488
01-06-2018,1054.025024,275.5,653.375,1271.300049,158.1999969,972.9500122,269.2999878,567.8499756,1847.199951,196.0500488
01-07-2018,1090.525024,303.9500122,682.5,1302.599976,165.5,1185.849976,264.1499939,562.8499756,1941.25,207.6000519
01-08-2018,1031.125,342.6499939,720,1369.099976,179.9499969,1240.949951,267.1000061,601.6500244,2078.199951,226.2375488
01-09-2018,1002.825012,305,727.8499756,1266.650024,177.25,1258.199951,223.4499969,580.3499756,2184.5,243.1500549
01-10-2018,955.9249878,355.1000061,686.25,1298.349976,153.1499939,1061.400024,178.6499939,552.4000244,1937.599976,248.625061
01-11-2018,1058.574951,355,666.5,1429.650024,140.1999969,1168.199951,171.9499969,530.25,1970.599976,243.637558
01-12-2018,1061.224976,360,659.8499756,1438.5,150.1999969,1121.050049,172.6000061,521.8499756,1893.550049,247.687561
01-01-2019,1040.574951,364.25,749.5999756,1313.400024,141.6999969,1227.099976,181.25,475.9500122,2014.599976,276.9750671
01-02-2019,1041.074951,348.7999878,733.9500122,1294.5,148.8000031,1231.550049,177.8500061,501.2999878,1984.25,277.500061
01-03-2019,1158.25,398.8500061,742.2999878,1384.050049,159.5500031,1363.050049,174.3000031,520.8499756,2000.400024,254.75
01-04-2019,1157.75,407.75,749.9500122,1347.75,169.3000031,1391.800049,214.1999969,556.4500122,2254.949951,298.3999939
01-05-2019,1212.449951,423.3999939,736.8499756,1557.949951,171.8500061,1329.75,172.5,487.8999939,2196.850098,286.5499878
01-06-2019,1223.199951,437.25,731.9500122,1553.050049,167.75,1252,162.6000061,504.3999939,2227.25,280.3999939
01-07-2019,1125.900024,424.5,794,1387.150024,138.8999939,1166,135.6000061,431.8999939,2205.399902,265.3500061
01-08-2019,1114.449951,410.3999939,814.5999756,1328.099976,121.1999969,1248.349976,116.75,344.9500122,2258.050049,254.3500061
01-09-2019,1227.349976,433.3999939,805.2999878,1476.599976,131.8999939,1332.599976,117.4499969,359.7999878,2099.199951,239.8000031
01-10-2019,1229.949951,462.8500061,685.5,1473.400024,141.5500031,1464.199951,177.6999969,380.5,2270.199951,259.2000122
01-11-2019,1274.25,511.9500122,695.9500122,1330.599976,131.75,1550.900024,161.4499969,427.3999939,2052.699951,237.6999969
01-12-2019,1271.800049,538.75,731.75,1298.949951,128.75,1514.099976,185.1000061,472,2161.300049,245.9499969
01-01-2020,1225.699951,525.5499878,776.3499756,1369.099976,108.9000015,1411.699951,176.6000061,438.75,2079.300049,236.8000031
01-02-2020,1177.599976,496.0499878,731.3499756,1183,91.94999695,1316.125732,129,381.5499878,2000.949951,221.1000061
01-03-2020,862,324.5,640.2999878,806.8499756,68.30000305,1101.963745,71.05000305,269.75,1823.050049,196.6000061
01-04-2020,1001.75,379.8999939,716.2000122,897.3499756,79.94999695,1453.221191,93.09999847,298.4500122,2014.849976,190.5
01-05-2020,951.25,332.1000061,691.3499756,932.2999878,83.19999695,1465.199951,86.90000153,295.2000122,1971.550049,212.5500031
01-06-2020,1065.699951,351.4500122,735.9000244,944.0499878,81.40000153,1703.349976,98.25,326.6499939,2082.199951,219.6999969
01-07-2020,1032.650024,346.8999939,966.25,913.3499756,78.40000153,2066.949951,104.6999969,366.3999939,2282.449951,280.6000061
01-08-2020,1115.199951,395,928.5,945.2999878,82.05000305,2078.550049,143.1999969,413.2000122,2256.350098,271.3999939
01-09-2020,1079.199951,354.8999939,1008,902.4500122,69.30000305,2233.75,133.3000031,359.75,2491.5,313.6000061
