Date,HBLPOWER.BO,ISGEC.BO,JPASSOCIAT.BO,MIRZAINT.BO,NBCC.BO,PNB.BO,PNBGILTS.BO,SUZLON.BO,UNITINT.BO,YESBANK.BO
01-01-2018,73.5,812.5750122,25.04999924,161.4499969,125.3000031,176.0500031,47.29999924,15.55000019,9.989999771,333.0499878
08-01-2018,70.80000305,818.6500244,23,159.4499969,124.6750031,173.8000031,48.59999847,16.20000076,9.470000267,340.6499939
15-01-2018,63.90000153,811.7349854,21.70000076,151.1499939,120.0500031,176.4499969,45.45000076,15.10000038,8.920000076,348.2999878
22-01-2018,65.05000305,802.960022,22,147.3500061,117.3249969,180.8000031,44.15000153,14.60000038,8.670000076,363.5
29-01-2018,56.90000153,720.0999756,17.95000076,124.8000031,109.6750031,161.6499939,39.34999847,13.61999989,8.069999695,350
05-02-2018,57.59999847,766.0499878,17.5,138.1000061,105.5500031,156.8000031,38.40000153,13.47999954,8.100000381,325.5499878
12-02-2018,56.75,724.0999756,17.29999924,133.3500061,101.9499969,125.6500015,38.25,13.13000011,8,311.8999939
19-02-2018,57.54999924,704.914978,19.20000076,131.5500031,100.875,113.4000015,35.70000076,12.97999954,8.020000458,323.6000061
26-02-2018,56.95000076,738.8549805,17.45000076,136.8500061,97.94999695,101,38.04999924,12.76000023,7.5,320.75
05-03-2018,49.59999847,686.0700073,13.94999981,122.5500031,91.05000305,95.5,35.95000076,11.02000046,6.889999866,303.4500122
12-03-2018,51.34999847,714.3499756,20.89999962,123.5500031,100.1500015,98.94999695,36.29999924,11.68999958,6.309999943,312.8999939
19-03-2018,44.20000076,688.7999878,17.04999924,108.5500031,95.5,93.15000153,34.95000076,10.86999989,5.949999809,286.7000122
26-03-2018,44.95000076,650.6199951,18.95000076,125.3000031,95.17500305,95.44999695,34.84999847,10.73999977,6.090000153,304.8999939
02-04-2018,49.34999847,695.5,20.45000076,129.9499969,103.7249985,102,38.84999847,11.97999954,7.28000021,314.2000122
09-04-2018,49.09999847,679.7050171,19.35000038,133.25,105.125,101.25,38.59999847,11.85999966,7.380000114,309.3999939
16-04-2018,49.29999924,675.5949707,20.39999962,137.25,104.4000015,93.59999847,37.29999924,11.5,7.389999866,308.4500122
23-04-2018,48.70000076,658.9299927,19.25,139.9499969,104.9000015,93.5,36.04999924,10.84000015,6.670000076,348.4500122
30-04-2018,45.20000076,621.7349854,18.95000076,134.8000031,103.8499985,91.65000153,36.20000076,10.56999969,6.269999981,345.3999939
07-05-2018,46.45000076,608.9650269,18.60000038,128.6000061,99.65000153,88.65000153,34.25,9.75,6.239999771,349.9500122
14-05-2018,44.5,588.4099731,17.5,125.0999985,95.65000153,74.75,33.20000076,8.869999886,5.880000114,345.4500122
21-05-2018,44.84999847,575.3599854,16.10000038,122.5999985,97.65000153,83.30000305,32.90000153,9.090000153,5.730000019,339.4500122
28-05-2018,37.29999924,570.0449829,14.60000038,123.8000031,89.69999695,82.90000153,32.54999924,8.409999847,7.150000095,342.25
04-06-2018,35.79999924,555.210022,15.25,118.9000015,87.30000305,90.40000153,30.54999924,8.399999619,6.710000038,337.6000061
11-06-2018,36.79999924,551.2449951,14.44999981,117.6500015,84.94999695,89.84999847,31.54999924,7.96999979,6.96999979,330.5499878
18-06-2018,34.90000153,547.335022,17.20000076,114.1999969,83.05000305,82.15000153,30.25,7.699999809,7.010000229,335.2000122
25-06-2018,33.09999847,513.1199951,16.04999924,103.4000015,75,75.94999695,28.75,7.5,6.769999981,339.6000061
02-07-2018,33.04999924,530.1500244,15.69999981,97.09999847,67.94999695,76.90000153,27.14999962,7.510000229,7.010000229,352.3999939
09-07-2018,33.04999924,557.6799927,15.5,98.80000305,65.44999695,73.65000153,27.20000076,7.409999847,7.179999828,376.3999939
16-07-2018,31.14999962,549.0650024,15.10000038,93.25,63.5,75.5,25.20000076,7.090000153,6.800000191,386.6499939
23-07-2018,35.25,574.1950073,15,99.40000153,70.09999847,82,27.25,7.71999979,6.849999905,369.8999939
30-07-2018,37.20000076,574.2550049,15,102.6999969,76.65000153,88.25,28.04999924,7.889999866,6.849999905,372.4500122
06-08-2018,35.75,615.9450073,13.19999981,100.3000031,75.75,83.15000153,27.95000076,7.320000172,6.5,383
13-08-2018,33.29999924,625.3950195,13.10000038,100.1500015,74.25,83.44999695,27.85000038,7.230000019,6.659999847,392.9500122
20-08-2018,33,622.6300049,12.03999996,101.5500031,72.65000153,85.75,27.60000038,7.170000076,6.610000134,374.6499939
27-08-2018,32.75,633.0050049,11.93000031,98.44999695,72.05000305,88.15000153,31.5,7.150000095,6.840000153,343.3999939
03-09-2018,34.15000153,597.3300171,11.09000015,94.94999695,71.05000305,84.34999847,29.35000038,7.059999943,6.550000191,323.4500122
10-09-2018,34.40000153,590.5250244,10.01000023,94.94999695,68.44999695,82.84999847,29,7,6.460000038,323.1000061
17-09-2018,32.25,589.2449951,8.300000191,92.75,64.69999695,72.80000305,27.60000038,6.769999981,6.039999962,227.0500031
24-09-2018,26.64999962,547.8300171,6.619999886,82.55000305,58.5,59.75,26.5,5.489999771,5.46999979,183.4499969
01-10-2018,25.75,519.664978,6.550000191,75.75,53.79999924,63.79999924,26.64999962,5.519999981,5.25,206.1999969
08-10-2018,28,554.1500244,6.670000076,75.44999695,53.54999924,66.34999847,28.95000076,5.800000191,4.550000191,246.6999969
15-10-2018,28.39999962,566.1350098,6.559999943,79.69999695,52.79999924,66.09999847,26.70000076,5.920000076,6.099999905,217.6999969
22-10-2018,27.20000076,530.1149902,5.840000153,75.5,51.75,65.94999695,27.04999924,6.03000021,6.699999809,180.5500031
29-10-2018,31.20000076,550.5050049,6.760000229,85.84999847,58.84999847,69.05000305,28.79999924,6.329999924,6.53000021,209.3999939
05-11-2018,31.35000038,546.8150024,7.059999943,86.44999695,65.65000153,71.65000153,30.35000038,6.199999809,6.400000095,227.8500061
12-11-2018,29,533.1950073,6.590000153,80.19999695,59.40000153,73.19999695,29.89999962,5.670000076,6.440000057,191.3000031
19-11-2018,26.64999962,533.125,7.039999962,80.09999847,57.75,71.69999695,30.60000038,5.570000172,6.289999962,195.5500031
26-11-2018,26.79999924,533.4450073,6.920000076,78.90000153,52.95000076,69.75,30,5.150000095,5.849999905,169.6499939
03-12-2018,25.60000038,523.4099731,6.639999866,75.69999695,51.90000153,66,30.20000076,5.159999847,5,166.1000061
10-12-2018,26.89999962,514.210022,7.03000021,80.19999695,52.79999924,72.65000153,32.40000153,5.289999962,5.510000229,180.3500061
17-12-2018,29,510.7399902,7.75,85.55000305,55.95000076,76.44999695,33.75,5.510000229,6.199999809,182.8999939
24-12-2018,28.75,501.0700073,7.630000114,83,56.65000153,78.34999847,35.29999924,5.420000076,6.21999979,181.5500031
31-12-2018,27.54999924,502.8599854,7.559999943,80.44999695,58.95000076,81.30000305,34.79999924,5.420000076,6.099999905,189.5
07-01-2019,28.29999924,500.1099854,7.320000172,80.15000153,61.04999924,80.69999695,33.15000153,5.340000153,5.949999809,183.9499969
14-01-2019,28.25,500.2650146,7.159999847,79.40000153,57.95000076,82.84999847,31.60000038,5.239999771,5.570000172,198.25
21-01-2019,25.95000076,493.0549927,6.630000114,74.65000153,56.54999924,76.55000305,30.29999924,5.079999924,5.809999943,219.6499939
28-01-2019,26.60000038,493.9450073,6.730000019,72.34999847,57.79999924,73.90000153,29.75,4.940000057,6.360000134,185.6499939
04-02-2019,24,504.1400146,5.230000019,68.55000305,54.54999924,71.25,29.35000038,3.700000048,6.099999905,174.8000031
11-02-2019,23,494.3850098,5.010000229,54.95000076,50,70.05000305,30.54999924,3.440000057,5.739999771,218.6999969
18-02-2019,22.89999962,476.5299988,6.170000076,52.15000153,53.04999924,73.19999695,30.70000076,5.800000191,6.630000114,221.9499969
25-02-2019,25.45000076,469.9400024,6.210000038,52.95000076,55.04999924,76.59999847,30.20000076,5.949999809,6.300000191,237.3999939
04-03-2019,28.75,535.8850098,6.579999924,56.84999847,57,83.84999847,31.35000038,7.329999924,6.25,232.3999939
11-03-2019,26.60000038,560.0949707,6.130000114,52.95000076,65.40000153,86,31,6.800000191,6.289999962,245.0500031
18-03-2019,26.64999962,552.25,5.840000153,55.25,64.55000305,91.69999695,31.10000038,6.679999828,6.190000057,252.5
25-03-2019,25.39999962,605,5.5,54.70000076,66.30000305,95.40000153,31.35000038,6.150000095,6.230000019,275.0499878
01-04-2019,25.04999924,570.9000244,6.03000021,55.79999924,62,93.15000153,31.45000076,6.659999847,6.010000229,267.1000061
08-04-2019,25.64999962,568.4000244,5.630000114,55.09999847,61.90000153,93.25,31.64999962,7.199999809,6.28000021,267.8500061
15-04-2019,24.5,565,5.53000021,58.84999847,61.54999924,90.09999847,31.29999924,7.090000153,6.050000191,255.3000031
22-04-2019,24.25,564.5999756,5.590000153,56.29999924,59.04999924,88.09999847,30.70000076,7.190000057,6.199999809,237.3999939
29-04-2019,24.5,548.9000244,5.269999981,54.54999924,58.09999847,87.19999695,30.14999962,6.739999771,6.090000153,175.6000061
06-05-2019,24.54999924,507.0499878,4.920000076,52.95000076,55.75,86.19999695,29.79999924,6.400000095,6.25,164
13-05-2019,22.85000038,500.4500122,4.46999979,50.29999924,53,82.65000153,30.20000076,5.21999979,6.389999866,134.5500031
20-05-2019,24.64999962,525,4.940000057,54.70000076,61.15000153,88.15000153,33.15000153,5.710000038,6.360000134,141.3000031
27-05-2019,25.35000038,494.2000122,4.869999886,54.34999847,61.95000076,80.65000153,33.54999924,5.46999979,6.25,147.9499969
03-06-2019,24.70000076,444,4.289999962,58.70000076,60.90000153,79.25,34.29999924,5.21999979,6.75,139.9499969
10-06-2019,23.70000076,464.8999939,3.690000057,57,58.04999924,76.55000305,33.95000076,4.130000114,5.900000095,115.3499985
17-06-2019,23.25,452.75,3.200000048,65.25,58.59999847,77,34.04999924,4.550000191,6.349999905,109.5500031
24-06-2019,22.60000038,453.75,3.049999952,65.65000153,59.65000153,79.55000305,34.09999847,5.25,6.010000229,108.6999969
01-07-2019,23.29999924,454.25,2.99000001,66.05000305,57.5,81.75,34.40000153,4.860000134,5.889999866,88.19999695
08-07-2019,22.89999962,449.9500122,2.690000057,62.15000153,55.84999847,75.34999847,37.65000153,4.949999809,5.889999866,94.15000153
15-07-2019,21.75,410.25,2.569999933,62,51.20000076,72.84999847,37.34999847,4.369999886,5.900000095,83.25
22-07-2019,20.10000038,423.25,2.569999933,61.95000076,48.90000153,68,35.09999847,4.619999886,6.199999809,96.09999847
29-07-2019,19.35000038,409.4500122,2.319999933,57.20000076,42.84999847,67.65000153,36.70000076,4.239999771,4.599999905,88.30000305
