Date,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,ITC.NS,LT.NS,RELIANCE.NS,SBIN.NS,TCS.NS,TITAN.NS,WIPRO.NS
01-01-2018,927.25,310.2999878,516.7750244,262.2999878,1260.699951,901.2074585,307.1000061,1322.800049,852.4500122,237.4125519
02-01-2018,936.1749878,309.7000122,514.8499756,260.75,1249.75,902.5942993,303.25,1315.599976,845.1500244,239.0250549
03-01-2018,926.3250122,315,510.6499939,261.1499939,1275.300049,906.210022,302.8500061,1319.324951,856.2999878,232.4625549
04-01-2018,929.9500122,314.7000122,507.7000122,261.5499878,1315.699951,911.6583862,308.5,1328.550049,892.9000244,233.7375641
05-01-2018,931.7999878,312.8999939,506,262.8999939,1314.900024,914.5806885,306.3500061,1344.599976,909.7000122,232.1625519
08-01-2018,930.2999878,314.1499939,518.0250244,265.6000061,1338.25,919.8309326,305.7999878,1357.199951,926.0999756,233.3625641
09-01-2018,931.8499756,312.6000061,520.6749878,270.5499878,1332.75,932.114502,304.2999878,1354.5,932.9500122,237.9000549
10-01-2018,932.0999756,312,526.125,269.3999939,1323.75,933.5013428,301.1000061,1403.300049,917.5999756,245.0250549
11-01-2018,936.2750244,309.5,537.9000244,269.7999878,1323.550049,928.944519,302.2000122,1395.25,906.9000244,240.825058
12-01-2018,932.6500244,317.7000122,539.2249756,267.5499878,1329.150024,940.0888672,302.25,1388.175049,903.7999878,239.1000519
15-01-2018,948.875,329.2999878,540.5750122,267.6000061,1325.949951,940.2374878,302.6000061,1373.050049,918.25,236.250061
16-01-2018,950.0750122,334.1000061,561.4249878,261.7000122,1326.199951,914.2835083,296.1499939,1425.425049,889.4000244,248.9625549
17-01-2018,945.25,343.25,576.0499878,266.0499878,1353.349976,915.8189697,307.1000061,1444.474976,893.0999756,244.2750549
18-01-2018,967.1500244,346.1499939,576.3499756,273.3999939,1360.800049,911.0640259,303.25,1459.099976,885.8499756,244.012558
19-01-2018,976.0999756,353.6000061,571.7249756,274.5499878,1371.449951,922.5551147,309.25,1479.650024,891.4500122,246.7125549
22-01-2018,981.6749878,351.5,575,273.6499939,1398.849976,962.3776245,306.5,1558.199951,909.75,241.1625671
23-01-2018,975.6500244,362.2999878,588.5499878,276.6000061,1410.699951,974.0172729,318.1000061,1551,905.7000122,236.437561
24-01-2018,978.8250122,352.75,592.9000244,281.4500122,1401.199951,957.276001,329.8999939,1587.300049,886.9000244,235.4625549
25-01-2018,987.4749756,360.7999878,587.7000122,281.25,1416.5,956.8302002,313.1499939,1560.525024,884.0999756,233.9625549
29-01-2018,999.8250122,357.6499939,591.4500122,275.6499939,1431.949951,955.4433594,312.1000061,1599.425049,896.2000122,233.3625641
30-01-2018,997.75,353.25,585.3250122,275.2000122,1429.900024,941.475769,313.5499878,1576.425049,884.1500244,230.4750519
31-01-2018,1002.849976,352.9500122,575.125,271.3999939,1416.5,952.2733765,313.25,1556.175049,869.5499878,228.5250549
01-02-2018,995.5750122,346.2000122,572.2999878,275.2999878,1455.599976,934.9872437,306.0499878,1569.300049,831,225.562561
02-02-2018,974,335.1000061,571.625,275.3500061,1415.449951,895.8581543,297.3500061,1576.824951,822.2000122,225.450058
05-02-2018,956.9249878,329.7000122,569.0999756,279.25,1363.650024,893.678833,298.0499878,1551.599976,802.2999878,224.062561
06-02-2018,948.4000244,330.7000122,553.875,273.5,1353.050049,883.7232056,291.75,1498.625,782.6500244,220.9875488
07-02-2018,936.4000244,332.5499878,554.5250244,275.1499939,1333.75,886.0015869,292.7999878,1477.525024,783.6500244,217.012558
08-02-2018,940.4749756,333.8500061,567.125,274.1000061,1347.400024,896.0562744,301.3999939,1487.099976,800.75,217.3500519
09-02-2018,924.75,326.75,554.5750122,271.3500061,1329.25,889.4191895,296.3999939,1485.849976,796.7999878,213.7500458
12-02-2018,938.3250122,326.25,551.4000244,269.8500061,1350.5,906.9034424,288.75,1483.650024,809.0499878,216.7125549
14-02-2018,941.5750122,318.9500122,548.875,266.5,1361.199951,924.8830566,276.2000122,1455.900024,813.7000122,220.0875549
15-02-2018,940.9500122,328.6499939,557.2249756,268.1000061,1350.349976,926.8642578,278.7000122,1462.925049,814.8499756,219.375061
16-02-2018,939.2999878,321.0499878,564.0250244,266.4500122,1328.400024,912.6489868,271.6499939,1466.525024,803.2000122,218.250061
19-02-2018,939.0999756,319.75,565.875,264.1000061,1295.5,918.2954712,268.5,1461.800049,803.9500122,217.4625549
20-02-2018,931.5999756,317.25,568.4749756,263.25,1290.599976,912.4508667,269.6499939,1472.375,832.25,218.5875549
21-02-2018,928.7000122,319.2000122,573.7000122,268.2000122,1282.800049,920.6234131,273.2999878,1521.150024,822.9000244,219.1500549
22-02-2018,926.5999756,318.3500061,580.375,267.1000061,1292,915.6703491,272.6000061,1525.099976,817.5,219.4875488
23-02-2018,940.2750244,322.75,577.8250122,269.0499878,1301.699951,925.477417,276.0499878,1537.900024,814.2000122,221.250061
26-02-2018,955.7750244,327.0499878,569.2999878,266.5499878,1344.25,929.8856201,274.4500122,1515.849976,819.7000122,218.700058
27-02-2018,951.2750244,322.1499939,575.0999756,266.3999939,1338.099976,941.5748291,267.6000061,1521.175049,822.5999756,218.812561
28-02-2018,942.0999756,313.25,586.2999878,265.0499878,1318.150024,945.586792,268,1517.525024,816.1500244,219.6000519
01-03-2018,937.1749878,304.9500122,580.375,264,1315.199951,939.4945068,262.1499939,1518.849976,810.2000122,219.375061
05-03-2018,934.9749756,303.3500061,577.9500122,260.25,1300.699951,915.4227295,263.5,1552.925049,808.9000244,218.2125549
06-03-2018,923.125,295.0499878,575.6749878,256.5,1283.400024,902.2971191,256.5499878,1521.400024,807.6500244,215.2125549
07-03-2018,916.2999878,286.7000122,572.0499878,259.8999939,1263.300049,881.3952637,246.6499939,1513.724976,814.8499756,214.012558
08-03-2018,926.4249878,296.9500122,578.3250122,258.8500061,1283.800049,902.8914795,256.7999878,1501.974976,817.7000122,213.9000549
09-03-2018,925.5250244,292.7000122,581.7000122,259.25,1290.5,904.526001,253.25,1517.050049,819.0999756,213.7875519
12-03-2018,933.625,300.6499939,592.875,270.1000061,1310.050049,921.5645142,252.8500061,1526.074951,829.0999756,218.0250549
13-03-2018,930.125,304.3500061,591.9000244,269.4500122,1302.75,923.0999146,254.6999969,1443.400024,851.9500122,222.450058
14-03-2018,932.25,306.0499878,590.4000244,268.0499878,1303.25,920.3262329,257.0499878,1443.449951,865,220.387558
15-03-2018,940.4000244,301.4500122,591.25,265.5499878,1295.099976,903.2382202,253.6999969,1434.849976,872.5,220.0500488
16-03-2018,926.5,298.1000061,585.9500122,260.5,1269.300049,891.5985107,252.3000031,1412.849976,879.25,221.812561
19-03-2018,923.625,294.5499878,573.375,259.1499939,1279.550049,887.0912476,247.9499969,1415.5,869,216.4875488
20-03-2018,919.75,292,582.2750244,259.2000122,1293.5,881.4447632,249.1000061,1432.425049,871.75,220.200058
21-03-2018,929.4500122,289.2000122,583.75,259.0499878,1309.349976,888.4780884,248,1428.375,872.25,221.437561
22-03-2018,933.875,283.25,580.6500244,258.2999878,1296.25,899.6224976,241.5500031,1415.675049,887.5499878,216.3375549
23-03-2018,920.7750244,275.5499878,583.7999878,256,1267.900024,885.5062866,234.8000031,1409.074951,895.0499878,213.4875488
26-03-2018,946.7249756,281.6499939,577.625,258.1000061,1297.400024,892.6386719,246.5,1408.5,939.0499878,205.5000458
27-03-2018,946.2999878,283.8999939,577,258.8999939,1307.550049,891.3508911,254.3500061,1423.849976,942.4000244,205.5375519
28-03-2018,943.0499878,278.3500061,565.9000244,255.5,1310.900024,874.411438,249.8999939,1424.574951,942.2999878,210.8625488
02-04-2018,965.5999756,261.8500061,568.5750122,258.25,1335.949951,884.5651855,246.1499939,1454.824951,944.0999756,217.2375488
03-04-2018,957.9500122,270.0499878,570.2249756,258.5,1330.400024,891.1032104,250.5,1455.625,931.9500122,212.9250488
04-04-2018,941.625,268.6499939,562.0999756,258.6000061,1296.150024,886.4968872,247.3000031,1455.449951,904.3499756,211.200058
05-04-2018,954.4500122,278.6499939,573.7750244,259.6499939,1328.800049,899.6719971,259.2999878,1478.974976,920.0499878,214.6875458
06-04-2018,961.7000122,280.6499939,563.5,260.8500061,1316.550049,902.4457397,259.7000122,1475.150024,940.2999878,212.9625549
09-04-2018,969.5250244,280.8500061,555.625,265.7999878,1327.900024,907.3987427,260.6499939,1461.949951,960.6500244,213.7875519
10-04-2018,960.4249878,288.7999878,556.7000122,266.7000122,1349.900024,908.4389038,263.2999878,1468.800049,962.25,214.5000458
11-04-2018,959.4249878,284.5499878,562.125,265.1499939,1352.75,922.109314,257.0499878,1507.074951,979.9500122,214.2750549
12-04-2018,964.4000244,286.75,581.2999878,261.9500122,1357.449951,919.9794922,253.8000031,1569.625,976.0499878,215.137558
13-04-2018,962.5,288.25,585.7249756,260.75,1354.849976,930.0341797,250.9499969,1576.650024,987.1500244,220.6125488
16-04-2018,971.0499878,287.6000061,566.5999756,264.4500122,1368.099976,928.2510986,249,1593.824951,980.5,217.4250488
17-04-2018,974.25,291.75,562.5999756,267.6000061,1359.550049,935.3834839,248.1499939,1583.300049,997.5999756,213.5625458
18-04-2018,966.2999878,290.0499878,562.9749756,275.3500061,1360.099976,929.1921997,246.4499969,1579.550049,977.0999756,219.4875488
19-04-2018,969.5,289.6000061,566.4249878,277.3500061,1385,933.4517822,246.1499939,1595.574951,952.75,219.3375549
