Date,AARTIDRUGS.NS,APARINDS.NS,BEL.NS,ECLERX.NS,HDFCLIFE.NS,LUXIND.NS,NHPC.NS,NOCIL.NS,RADICO.NS,VMART.NS
01-01-2018,156.2375031,736.4500122,56.45000076,1006.200012,427,1713.050049,29.45000076,209.6000061,361.5,1486.25
01-02-2018,150.1000061,797.25,51.45000076,912.2999878,461.2000122,1804.650024,27.29999924,194.3500061,346.7999878,1619.349976
01-03-2018,126.5,728,47.15000153,801,454.4500122,1701.5,27.70000076,191.8500061,332.25,1899.75
01-04-2018,143.4250031,807.3499756,43.73333359,889.5333252,518.0499878,1991.650024,28.45000076,217.6499939,418.8500061,2086.75
01-05-2018,129.9125061,705.5,38.1333313,881.0999756,491.1499939,1822.099976,26.5,188.6000061,460.3999939,2402.850098
01-06-2018,138.5124969,674.8499756,36.21666718,866.7333374,456.1499939,1911.150024,23.45000076,162.25,413.8500061,2481.600098
01-07-2018,139.8625031,620.5,38.78333282,861.7333374,502.7000122,1890.5,23.75,175.6000061,437.25,2424.75
01-08-2018,138.7375031,616.2999878,37.83333206,714.7000122,461.75,1723.449951,25.35000038,178.3500061,493.3500061,3182.850098
01-09-2018,137.3125,591.0499878,26.76666641,706.4000244,391.6000061,1622.550049,22.60000038,151.5500031,346.9500122,2507.350098
01-10-2018,147.8625031,551.2999878,31.01666641,709.2999878,372.2999878,1535.199951,24.35000038,155.1000061,393.4500122,2413.949951
01-11-2018,138.2375031,615.75,27.75,675.8666382,396.7000122,1491.599976,25.95000076,169.8000031,415.2999878,2713.350098
01-12-2018,144.1625061,660.25,29.31666565,716.2333374,387.1499939,1357.099976,26,165.1499939,400.4500122,2592.199951
01-01-2019,147.2375031,621.7000122,27.88333321,716.2333374,371.6000061,1208.099976,25,145.4499969,409.6499939,2546.649902
01-02-2019,147.3500061,631.5999756,27.5,691,352.25,1095.150024,22.95000076,133.3500061,362.5,2580.100098
01-03-2019,159.3249969,671.9000244,31.08333206,765.0999756,378.5,1373.25,24.70000076,146.4499969,395.1000061,2694.25
01-04-2019,155.0625,666.9500122,29.04999924,763.7999878,404.5499878,1322.349976,23.35000038,133.8500061,353.8500061,2785.100098
01-05-2019,142.3000031,669.8499756,37.21666718,622.2333374,441.6499939,1257.900024,25.04999924,136.3999939,336.5499878,2466.449951
01-06-2019,132.6750031,578.1500244,37.5,511.1666565,464.0499878,1212.099976,24.79999924,117.5,315.6000061,2208.399902
01-07-2019,115.5625,487.1499939,34.23333359,397.7333374,493.5,1082.949951,22.14999962,89.5,298.0499878,1871.099976
01-08-2019,116.3625031,535.75,34.29999924,300.1333313,557.1500244,1067.550049,23.25,87.40000153,309,1986.550049
01-09-2019,113.4625015,557.5999756,36.09999847,289.7333374,601.1500244,1203.199951,22.29999924,112.1999969,315,2103.350098
01-10-2019,134.4875031,534.5,39.3833313,301.1666565,626.2000122,1217.150024,23.5,121.4499969,316.5499878,1974.25
01-11-2019,130,454.2999878,34.36666489,353.7666626,571.5,1355.900024,23.79999924,103.6500015,312.7000122,1756.349976
01-12-2019,144.8249969,389.7999878,33.34999847,378.6666565,626.0499878,1284.650024,23.95000076,101.5,313.5,1652.900024
01-01-2020,153.625,388.9500122,30.21666527,421.4333191,599.2000122,1479.599976,24.5,95.55000305,396.3500061,1990.699951
01-02-2020,173.2375031,353.6000061,24.64999962,361.7666626,544.0999756,1404.449951,20.60000038,89.94999695,410.3999939,2230.550049
01-03-2020,125.5749969,288.2000122,24.81666565,243.6000061,441.3500061,944.9500122,19.95000076,65.80000305,268.2000122,1421.349976
01-04-2020,178.8000031,311.75,24.03333282,310.0333252,501.0499878,940,20.79999924,86.80000305,294.1000061,1724
