Date,Underlying Value
28-Feb-23,1487.55
27-Feb-23,1509.3
24-Feb-23,1550.65
23-Feb-23,1550.7
22-Feb-23,1561.8
21-Feb-23,1579.5
20-Feb-23,1592.45
17-Feb-23,1583.8
16-Feb-23,1601.8
15-Feb-23,1597.05
14-Feb-23,1593.25
13-Feb-23,1567.45
10-Feb-23,1608.55
09-Feb-23,1617
08-Feb-23,1590.5
07-Feb-23,1562.4
06-Feb-23,1569.85
03-Feb-23,1599.4
02-Feb-23,1583.75
01-Feb-23,1551.1
31-Jan-23,1533.75
30-Jan-23,1538.8
27-Jan-23,1519.15
25-Jan-23,1543
24-Jan-23,1551.9
23-Jan-23,1548
20-Jan-23,1525.55
19-Jan-23,1538.9
18-Jan-23,1545.4
17-Jan-23,1539.5
16-Jan-23,1525.5
13-Jan-23,1503.65
12-Jan-23,1480.6
11-Jan-23,1471.25
10-Jan-23,1469.75
09-Jan-23,1484.45
06-Jan-23,1448.5
05-Jan-23,1475.2
04-Jan-23,1494.8
03-Jan-23,1522.55
02-Jan-23,1524
30-Dec-22,1508.2
29-Dec-22,1517.55
28-Dec-22,1510.15
27-Dec-22,1514.85
26-Dec-22,1502.4
23-Dec-22,1497.1
22-Dec-22,1522.05
21-Dec-22,1509.55
20-Dec-22,1507.3
19-Dec-22,1507.35
16-Dec-22,1522.2
15-Dec-22,1540.5
14-Dec-22,1579.4
13-Dec-22,1572.15
12-Dec-22,1547.2
09-Dec-22,1569.3
08-Dec-22,1620.15
07-Dec-22,1605.5
06-Dec-22,1612.9
05-Dec-22,1639.75
02-Dec-22,1637.9
01-Dec-22,1657.1
30-Nov-22,1634.95
29-Nov-22,1629.05
28-Nov-22,1623.4
25-Nov-22,1635.65
24-Nov-22,1629.8
23-Nov-22,1583.15
22-Nov-22,1585.05
21-Nov-22,1568.2
18-Nov-22,1593.4
17-Nov-22,1587.4
16-Nov-22,1602.8
15-Nov-22,1594
14-Nov-22,1585.3
11-Nov-22,1570.1
10-Nov-22,1501.95
09-Nov-22,1511.2
07-Nov-22,1507.45
04-Nov-22,1514
03-Nov-22,1530.75
01-Nov-22,1573
31-Oct-22,1537.65
28-Oct-22,1513.25
27-Oct-22,1523.95
25-Oct-22,1526.3
21-Oct-22,1500.5
20-Oct-22,1500.9
19-Oct-22,1485.45
18-Oct-22,1503.7
17-Oct-22,1489.95
14-Oct-22,1474.25
13-Oct-22,1419.9
12-Oct-22,1428.7
11-Oct-22,1423.8
