Date,Underlying Value
28-Feb-23,376.7
27-Feb-23,382.2
24-Feb-23,385.1
23-Feb-23,387.6
22-Feb-23,383.85
21-Feb-23,382.25
20-Feb-23,384.05
17-Feb-23,383.4
16-Feb-23,382.55
15-Feb-23,382.2
14-Feb-23,386.45
13-Feb-23,374.2
10-Feb-23,371.35
09-Feb-23,374.25
08-Feb-23,375.55
07-Feb-23,373.25
06-Feb-23,383.4
03-Feb-23,380.65
02-Feb-23,378.6
01-Feb-23,361.4
31-Jan-23,352.35
30-Jan-23,344.8
27-Jan-23,346
25-Jan-23,339.25
24-Jan-23,338.95
23-Jan-23,337.75
20-Jan-23,334.6
19-Jan-23,332.15
18-Jan-23,334.65
17-Jan-23,332.25
16-Jan-23,330.2
13-Jan-23,328.75
12-Jan-23,329.85
11-Jan-23,331.8
10-Jan-23,333.4
09-Jan-23,338.05
06-Jan-23,335.05
05-Jan-23,333.45
04-Jan-23,327
03-Jan-23,331.1
02-Jan-23,332.85
30-Dec-22,331.55
29-Dec-22,335.35
28-Dec-22,334.4
27-Dec-22,333.15
26-Dec-22,334.6
23-Dec-22,326.7
22-Dec-22,332.45
21-Dec-22,335.15
20-Dec-22,340.15
19-Dec-22,340.5
16-Dec-22,335.1
15-Dec-22,338.85
14-Dec-22,345.4
13-Dec-22,345.6
12-Dec-22,343.2
09-Dec-22,341.4
08-Dec-22,338.4
07-Dec-22,340.1
06-Dec-22,337.3
05-Dec-22,336.75
02-Dec-22,337.15
01-Dec-22,339.55
30-Nov-22,340
29-Nov-22,342.3
28-Nov-22,340.05
25-Nov-22,340.3
24-Nov-22,340.75
23-Nov-22,339.8
22-Nov-22,340.25
21-Nov-22,337.2
18-Nov-22,341.05
17-Nov-22,343.7
16-Nov-22,344.1
15-Nov-22,345.25
14-Nov-22,347.2
11-Nov-22,356.35
10-Nov-22,356
09-Nov-22,360.7
07-Nov-22,353.5
04-Nov-22,353.6
03-Nov-22,353.7
01-Nov-22,349.5
31-Oct-22,348.7
28-Oct-22,345.8
27-Oct-22,345.8
25-Oct-22,346.3
21-Oct-22,345.6
20-Oct-22,349.7
19-Oct-22,346.35
18-Oct-22,340.3
17-Oct-22,332.25
14-Oct-22,332.1
13-Oct-22,328.65
12-Oct-22,330.1
11-Oct-22,326.3
10-Oct-22,327.85
07-Oct-22,334.1
06-Oct-22,336.65
04-Oct-22,332.85
03-Oct-22,324.4
30-Sep-22,332.2
29-Sep-22,333.05
28-Sep-22,324.95
27-Sep-22,334.85
26-Sep-22,332.6
23-Sep-22,346.4
22-Sep-22,345.05
21-Sep-22,340.95
20-Sep-22,336
19-Sep-22,335.6
16-Sep-22,331.3
15-Sep-22,334.1
14-Sep-22,335.35
13-Sep-22,334.4
12-Sep-22,330.9
09-Sep-22,330.5
08-Sep-22,329.9
07-Sep-22,326.1
06-Sep-22,327.15
05-Sep-22,328.85
02-Sep-22,323.15
01-Sep-22,317.6
30-Aug-22,320.5
29-Aug-22,313.55
26-Aug-22,312.9
25-Aug-22,312.35
24-Aug-22,314.1
23-Aug-22,315.9
22-Aug-22,314.4
19-Aug-22,312
18-Aug-22,315.65
17-Aug-22,312.55
16-Aug-22,310.55
12-Aug-22,308.55
11-Aug-22,306.25
10-Aug-22,311.2
08-Aug-22,313.15
05-Aug-22,310.85
04-Aug-22,309.5
03-Aug-22,308.15
02-Aug-22,309.95
01-Aug-22,307.5
29-Jul-22,303.05
28-Jul-22,303.45
27-Jul-22,304.15
26-Jul-22,302.45
25-Jul-22,301.1
22-Jul-22,300.55
21-Jul-22,299.55
20-Jul-22,298.2
19-Jul-22,294.6
18-Jul-22,295.3
15-Jul-22,293.55
14-Jul-22,290.85
13-Jul-22,294.05
12-Jul-22,292.7
11-Jul-22,295
08-Jul-22,293.05
07-Jul-22,291.95
06-Jul-22,289.3
05-Jul-22,286.9
04-Jul-22,291.9
01-Jul-22,284.35
30-Jun-22,273.5
29-Jun-22,274.05
28-Jun-22,271.85
27-Jun-22,269.95
24-Jun-22,265.85
23-Jun-22,265.5
