Date,Underlying Value
28-Feb-23,2322.55
27-Feb-23,2367.85
24-Feb-23,2383.7
23-Feb-23,2367.5
22-Feb-23,2378.9
21-Feb-23,2434.1
20-Feb-23,2414.4
17-Feb-23,2440.2
16-Feb-23,2430.05
15-Feb-23,2431.95
14-Feb-23,2378.1
13-Feb-23,2323.35
10-Feb-23,2336.65
09-Feb-23,2356.05
08-Feb-23,2351.95
07-Feb-23,2305.9
06-Feb-23,2311.45
03-Feb-23,2329
02-Feb-23,2326.95
01-Feb-23,2339.9
31-Jan-23,2353.85
30-Jan-23,2359.75
27-Jan-23,2337.35
25-Jan-23,2382.55
24-Jan-23,2415.95
23-Jan-23,2430.3
20-Jan-23,2442.65
19-Jan-23,2472.05
18-Jan-23,2474.7
17-Jan-23,2478.8
16-Jan-23,2444.1
13-Jan-23,2467.6
12-Jan-23,2471.6
11-Jan-23,2526.15
10-Jan-23,2558.4
09-Jan-23,2596.8
06-Jan-23,2536.9
05-Jan-23,2514.05
04-Jan-23,2518.55
03-Jan-23,2557.05
02-Jan-23,2575.9
30-Dec-22,2547.2
29-Dec-22,2543.3
28-Dec-22,2544.45
27-Dec-22,2544.7
26-Dec-22,2524.05
23-Dec-22,2502.2
22-Dec-22,2577.8
21-Dec-22,2584.5
20-Dec-22,2621.8
19-Dec-22,2599.3
16-Dec-22,2565.6
15-Dec-22,2578.35
14-Dec-22,2615.5
13-Dec-22,2625
12-Dec-22,2613.1
09-Dec-22,2609.1
08-Dec-22,2649.25
07-Dec-22,2650.5
06-Dec-22,2690.2
05-Dec-22,2682.45
02-Dec-22,2722.15
01-Dec-22,2723.3
30-Nov-22,2731.35
29-Nov-22,2712.2
28-Nov-22,2707.55
25-Nov-22,2617.6
24-Nov-22,2579.1
23-Nov-22,2557.05
22-Nov-22,2565.05
21-Nov-22,2550.9
18-Nov-22,2597.65
17-Nov-22,2599.05
16-Nov-22,2592.35
15-Nov-22,2607.3
14-Nov-22,2619.05
11-Nov-22,2631.8
10-Nov-22,2572.5
09-Nov-22,2604
07-Nov-22,2606.6
04-Nov-22,2592.75
03-Nov-22,2555.15
01-Nov-22,2529.85
31-Oct-22,2549.6
28-Oct-22,2526.15
27-Oct-22,2451.15
25-Oct-22,2441.55
21-Oct-22,2471.6
20-Oct-22,2500.6
19-Oct-22,2493.9
18-Oct-22,2451.25
17-Oct-22,2408.75
14-Oct-22,2370.7
13-Oct-22,2382.8
12-Oct-22,2375.25
11-Oct-22,2357.9
10-Oct-22,2405.8
07-Oct-22,2432.35
06-Oct-22,2422.1
04-Oct-22,2413.2
03-Oct-22,2369.5
30-Sep-22,2377.75
29-Sep-22,2325.3
28-Sep-22,2332.45
27-Sep-22,2396.25
26-Sep-22,2377.35
23-Sep-22,2439.5
22-Sep-22,2486.1
21-Sep-22,2509.75
20-Sep-22,2502.85
19-Sep-22,2502.45
16-Sep-22,2499.2
15-Sep-22,2562.7
14-Sep-22,2588.35
13-Sep-22,2619.75
12-Sep-22,2598.05
09-Sep-22,2569.3
08-Sep-22,2585.4
07-Sep-22,2581.75
06-Sep-22,2596.85
05-Sep-22,2569.8
02-Sep-22,2530.5
01-Sep-22,2560.4
30-Aug-22,2637.95
29-Aug-22,2597.65
26-Aug-22,2618
25-Aug-22,2632.05
24-Aug-22,2639.75
23-Aug-22,2646.8
22-Aug-22,2606.6
19-Aug-22,2613.85
18-Aug-22,2661.3
17-Aug-22,2665.15
16-Aug-22,2651.3
12-Aug-22,2633
11-Aug-22,2591.1
10-Aug-22,2582.5
08-Aug-22,2567.15
05-Aug-22,2534
04-Aug-22,2571.9
03-Aug-22,2606.35
02-Aug-22,2584.65
01-Aug-22,2574.85
29-Jul-22,2509.45
28-Jul-22,2457.1
27-Jul-22,2419.2
26-Jul-22,2421.5
25-Jul-22,2420.4
22-Jul-22,2503.1
21-Jul-22,2486.3
20-Jul-22,2503
19-Jul-22,2437.1
18-Jul-22,2422.25
15-Jul-22,2401.8
14-Jul-22,2397.15
13-Jul-22,2377.55
12-Jul-22,2420.45
11-Jul-22,2423.9
08-Jul-22,2391.4
07-Jul-22,2388.1
06-Jul-22,2411.85
05-Jul-22,2433.25
04-Jul-22,2413.7
01-Jul-22,2408.7
30-Jun-22,2595.65
29-Jun-22,2580.15
28-Jun-22,2527.7
27-Jun-22,2492.65
24-Jun-22,2500.05
23-Jun-22,2464.95
22-Jun-22,2505.6
21-Jun-22,2584.1
20-Jun-22,2543.05
17-Jun-22,2590
16-Jun-22,2560
15-Jun-22,2596.3
14-Jun-22,2628.1
13-Jun-22,2662.9
10-Jun-22,2714.25
09-Jun-22,2798.75
08-Jun-22,2724.05
07-Jun-22,2772.75
06-Jun-22,2767.55
03-Jun-22,2779.5
02-Jun-22,2724.3
01-Jun-22,2633.5
31-May-22,2632.65
30-May-22,2664.8
27-May-22,2575.1
26-May-22,2587.1
25-May-22,2612
24-May-22,2615.85
23-May-22,2606.9
20-May-22,2624.45
19-May-22,2479.85
18-May-22,2538.35
17-May-22,2529.15
16-May-22,2427.2
13-May-22,2426.6
12-May-22,2399.4
11-May-22,2449.3
10-May-22,2474.65
09-May-22,2518.3
06-May-22,2620.65
05-May-22,2640.9
04-May-22,2693.65
02-May-22,2780.45
29-Apr-22,2790.25
28-Apr-22,2819.85
27-Apr-22,2778.35
26-Apr-22,2775.65
25-Apr-22,2695
22-Apr-22,2758.8
21-Apr-22,2782.1
20-Apr-22,2718.45
19-Apr-22,2640.8
18-Apr-22,2543.85
13-Apr-22,2551.65
12-Apr-22,2561.05
11-Apr-22,2610.2
08-Apr-22,2615.65
07-Apr-22,2572.85
06-Apr-22,2619.05
05-Apr-22,2626.05
04-Apr-22,2663.7
01-Apr-22,2655.85
31-Mar-22,2634.75
30-Mar-22,2672.95
29-Mar-22,2622.55
28-Mar-22,2621.95
25-Mar-22,2595.85
24-Mar-22,2578.65
23-Mar-22,2539.2
22-Mar-22,2531.15
21-Mar-22,2467.4
17-Mar-22,2481.7
16-Mar-22,2403.35
15-Mar-22,2363.45
14-Mar-22,2418.85
11-Mar-22,2399.15
10-Mar-22,2392.25
09-Mar-22,2354.1
08-Mar-22,2235.5
07-Mar-22,2239.55
04-Mar-22,2325.55
03-Mar-22,2378.3
02-Mar-22,2398.55
28-Feb-22,2359.55
25-Feb-22,2283.95
24-Feb-22,2255.75
23-Feb-22,2374.05
22-Feb-22,2389
21-Feb-22,2399.9
18-Feb-22,2424.4
17-Feb-22,2443.5
16-Feb-22,2412.95
15-Feb-22,2417.95
