Date,HDFCBANK,ICICI BANK,INFY,ITC,L&T,RELIANCE,SBI,TCS,TITAN,WIPRO,AARTI DRUGS,APAR INDUSTRIES,BEL,HDFC LIFE,ECLERX,LUX ,NHPC,NOCIL,RADICO,VMART,NIFTY 50
01-01-2018,927.25,310.299988,516.775024,262.299988,1260.699951,901.207458,307.100006,1322.800049,852.450012,237.412552,158.537506,806.25,60.483334,389.649994,1047.966675,1511.650024,32.200001,182.199997,294.850006,1489,10436
02-01-2018,936.174988,309.700012,514.849976,260.75,1249.75,902.594299,303.25,1315.599976,845.150024,239.025055,159.087494,795.599976,60.549999,395.5,1043.133301,1499.349976,31.85,181.699997,292.149994,1479.349976,10442.2002
03-01-2018,926.325012,315,510.649994,261.149994,1275.300049,906.210022,302.850006,1319.324951,856.299988,232.462555,177,823.25,60.333332,385.649994,1034.800049,1503.599976,32.700001,193.649994,297.799988,1503,10443.2002
04-01-2018,929.950012,314.700012,507.700012,261.549988,1315.699951,911.658386,308.5,1328.550049,892.900024,233.737564,185.100006,832.75,60.016666,399,1033.199951,1514,33.75,219.100006,308,1597.800049,10504.79981
05-01-2018,931.799988,312.899994,506,262.899994,1314.900024,914.580688,306.350006,1344.599976,909.700012,232.162552,184.387497,839.549988,60.766666,407,1025.166626,1521.25,33.549999,228.949997,319.100006,1588.800049,10558.84961
08-01-2018,930.299988,314.149994,518.025024,265.600006,1338.25,919.830933,305.799988,1357.199951,926.099976,233.362564,183.037506,845.599976,61.349998,422.100006,1016.466675,1544.349976,33.150002,219.550003,316.799988,1583.5,10623.59961
09-01-2018,931.849976,312.600006,520.674988,270.549988,1332.75,932.114502,304.299988,1354.5,932.950012,237.900055,192.587494,854.349976,60.849998,435.5,1012.400024,1541.900024,32.799999,212.300003,315.200012,1677,10637
10-01-2018,932.099976,312,526.125,269.399994,1323.75,933.501343,301.100006,1403.300049,917.599976,245.025055,190.987503,862.200012,59.983334,429.25,1017.366638,1522.050049,32.450001,215.75,311.299988,1744.699951,10632.2002
11-01-2018,936.275024,309.5,537.900024,269.799988,1323.550049,928.944519,302.200012,1395.25,906.900024,240.825058,190.712494,855.299988,59.666664,446.700012,1023.43335,1531.800049,32.25,211.449997,317.850006,1693.5,10651.2002
12-01-2018,932.650024,317.700012,539.224976,267.549988,1329.150024,940.088867,302.25,1388.175049,903.799988,239.100052,188.625,843.849976,59.333332,455.950012,1017.93335,1531.849976,31.700001,219.899994,316.100006,1685.699951,10681.25
15-01-2018,948.875,329.299988,540.575012,267.600006,1325.949951,940.237488,302.600006,1373.050049,918.25,236.250061,188.600006,857.299988,59.533333,474.850006,1023.133362,1523.599976,31.6,217.149994,326.149994,1724.900024,10741.54981
16-01-2018,950.075012,334.100006,561.424988,261.700012,1326.199951,914.283508,296.149994,1425.425049,889.400024,248.962555,186.625,829.900024,57.733334,482.649994,1021.533325,1509.550049,30.299999,207.850006,316.149994,1659.050049,10700.4502
17-01-2018,945.25,343.25,576.049988,266.049988,1353.349976,915.81897,307.100006,1444.474976,893.099976,244.275055,185.074997,821.75,58.683334,478.399994,1016.866638,1519.699951,30.85,213.100006,341.850006,1649.599976,10788.54981
18-01-2018,967.150024,346.149994,576.349976,273.399994,1360.800049,911.064026,303.25,1459.099976,885.849976,244.012558,178.987503,824.5,57.033333,485.049988,1018.966675,1507.150024,29.450001,202,341.5,1597.75,10817
19-01-2018,976.099976,353.600006,571.724976,274.549988,1371.449951,922.555115,309.25,1479.650024,891.450012,246.712555,174.5,827.700012,57.583332,481.5,1026.800049,1525.300049,29.85,202.449997,365.549988,1586.550049,10894.7002
22-01-2018,981.674988,351.5,575,273.649994,1398.849976,962.377625,306.5,1558.199951,909.75,241.162567,178.899994,834.549988,58.466667,470.200012,1035.099976,1540.75,30.049999,212.5,389.600006,1635.300049,10966.2002
