Date,Underlying Value
28-Feb-23,1599.6
27-Feb-23,1592.9
24-Feb-23,1588.95
23-Feb-23,1603.25
22-Feb-23,1614.2
21-Feb-23,1646.5
20-Feb-23,1640.35
17-Feb-23,1655.9
16-Feb-23,1664.25
15-Feb-23,1670.3
14-Feb-23,1673.7
13-Feb-23,1658.35
10-Feb-23,1657.1
09-Feb-23,1650.55
08-Feb-23,1654
07-Feb-23,1654.2
06-Feb-23,1651.75
03-Feb-23,1658.8
02-Feb-23,1603.35
01-Feb-23,1627.55
31-Jan-23,1603.5
30-Jan-23,1614.15
27-Jan-23,1615.8
25-Jan-23,1648.65
24-Jan-23,1695.5
23-Jan-23,1673.1
20-Jan-23,1660.95
19-Jan-23,1644.1
18-Jan-23,1637.3
17-Jan-23,1608.9
16-Jan-23,1585.3
13-Jan-23,1600.65
12-Jan-23,1599.4
11-Jan-23,1590.9
10-Jan-23,1568.3
09-Jan-23,1597.5
06-Jan-23,1594.4
05-Jan-23,1599.7
04-Jan-23,1610.05
03-Jan-23,1639.35
02-Jan-23,1628.7
30-Dec-22,1628.15
29-Dec-22,1641.3
28-Dec-22,1629.8
27-Dec-22,1631.1
26-Dec-22,1629.45
23-Dec-22,1597.65
22-Dec-22,1612.05
21-Dec-22,1617.6
20-Dec-22,1633.4
19-Dec-22,1644.75
16-Dec-22,1639.65
15-Dec-22,1631.8
14-Dec-22,1662.25
13-Dec-22,1648.3
12-Dec-22,1643.75
09-Dec-22,1631.05
08-Dec-22,1619.5
07-Dec-22,1610.45
06-Dec-22,1611.15
05-Dec-22,1612.95
02-Dec-22,1607.1
01-Dec-22,1619.5
30-Nov-22,1608.45
29-Nov-22,1597.85
28-Nov-22,1600.25
25-Nov-22,1617.65
24-Nov-22,1625.15
23-Nov-22,1599.15
22-Nov-22,1595
21-Nov-22,1597.35
18-Nov-22,1613.9
17-Nov-22,1618.15
16-Nov-22,1632.9
15-Nov-22,1619
14-Nov-22,1615.05
11-Nov-22,1611.15
10-Nov-22,1524.75
09-Nov-22,1508.35
07-Nov-22,1508.8
04-Nov-22,1497.15
03-Nov-22,1507.55
01-Nov-22,1513.25
31-Oct-22,1496.7
28-Oct-22,1458.7
27-Oct-22,1454.4
25-Oct-22,1450.9
21-Oct-22,1438.6
20-Oct-22,1448.8
19-Oct-22,1458.65
18-Oct-22,1443.85
17-Oct-22,1446.55
14-Oct-22,1439
13-Oct-22,1393.6
12-Oct-22,1409.8
11-Oct-22,1400.65
10-Oct-22,1415
07-Oct-22,1430.8
06-Oct-22,1437
04-Oct-22,1453
03-Oct-22,1413.2
30-Sep-22,1421.35
29-Sep-22,1382.35
28-Sep-22,1389.55
27-Sep-22,1413.85
26-Sep-22,1426.65
23-Sep-22,1446.15
22-Sep-22,1486
21-Sep-22,1518.35
20-Sep-22,1520.7
19-Sep-22,1502.6
16-Sep-22,1492.75
15-Sep-22,1520.7
14-Sep-22,1528.65
13-Sep-22,1513.1
12-Sep-22,1493.55
09-Sep-22,1498.6
08-Sep-22,1497.6
07-Sep-22,1482.3
06-Sep-22,1489.35
05-Sep-22,1495.05
02-Sep-22,1485.5
01-Sep-22,1472.15
30-Aug-22,1486.1
29-Aug-22,1439.4
26-Aug-22,1465.1
25-Aug-22,1464.85
24-Aug-22,1472.85
23-Aug-22,1465.8
22-Aug-22,1470.35
19-Aug-22,1493.05
18-Aug-22,1511.7
17-Aug-22,1509.9
16-Aug-22,1502.15
12-Aug-22,1485.15
11-Aug-22,1485.7
10-Aug-22,1466.3
08-Aug-22,1462.05
05-Aug-22,1427.05
04-Aug-22,1431.9
03-Aug-22,1433.6
02-Aug-22,1430.25
01-Aug-22,1446.15
29-Jul-22,1434.2
28-Jul-22,1416.85
27-Jul-22,1404.4
26-Jul-22,1393.75
25-Jul-22,1396.6
22-Jul-22,1392.5
21-Jul-22,1360.75
20-Jul-22,1365.05
19-Jul-22,1348.05
18-Jul-22,1347.55
15-Jul-22,1362.05
14-Jul-22,1351.05
13-Jul-22,1357.85
12-Jul-22,1391.8
11-Jul-22,1406.15
08-Jul-22,1397.1
07-Jul-22,1395.8
06-Jul-22,1371.25
05-Jul-22,1352.6
04-Jul-22,1355.65
01-Jul-22,1353.75
30-Jun-22,1348
29-Jun-22,1343.95
28-Jun-22,1345.9
27-Jun-22,1356.25
24-Jun-22,1353.8
23-Jun-22,1335.15
22-Jun-22,1330.25
21-Jun-22,1336.55
20-Jun-22,1322.15
17-Jun-22,1289.75
16-Jun-22,1281.3
15-Jun-22,1307.45
14-Jun-22,1312
13-Jun-22,1326.6
10-Jun-22,1351.1
09-Jun-22,1377.7
08-Jun-22,1367.4
07-Jun-22,1362.6
06-Jun-22,1378.45
03-Jun-22,1380.3
02-Jun-22,1385.1
01-Jun-22,1394.85
31-May-22,1388.95
30-May-22,1401.55
27-May-22,1392.05
26-May-22,1366.7
25-May-22,1328.8
24-May-22,1318.95
23-May-22,1304
20-May-22,1320.95
19-May-22,1287.05
18-May-22,1313.9
17-May-22,1314
16-May-22,1305.1
13-May-22,1291.35
12-May-22,1303.05
11-May-22,1348.6
10-May-22,1341.05
09-May-22,1319.85
06-May-22,1317.6
05-May-22,1352.95
04-May-22,1356
02-May-22,1403.7
29-Apr-22,1384.6
28-Apr-22,1371.35
27-Apr-22,1372.55
26-Apr-22,1372.05
25-Apr-22,1365.75
22-Apr-22,1355.6
21-Apr-22,1374.35
20-Apr-22,1354.3
19-Apr-22,1342.2
18-Apr-22,1395.45
13-Apr-22,1464.95
12-Apr-22,1493.5
11-Apr-22,1496.15
08-Apr-22,1514.65
07-Apr-22,1516.75
06-Apr-22,1550.85
05-Apr-22,1608.25
04-Apr-22,1656.8
01-Apr-22,1506
31-Mar-22,1470.35
30-Mar-22,1476.95
29-Mar-22,1451.8
28-Mar-22,1432.8
25-Mar-22,1430.9
24-Mar-22,1442.65
23-Mar-22,1479.25
22-Mar-22,1494.15
21-Mar-22,1486.5
17-Mar-22,1480.05
16-Mar-22,1448.15
15-Mar-22,1424
14-Mar-22,1442.55
11-Mar-22,1396.8
10-Mar-22,1392.7
09-Mar-22,1371.15
08-Mar-22,1327.8
07-Mar-22,1324.8
04-Mar-22,1366.5
03-Mar-22,1371
02-Mar-22,1374.25
28-Feb-22,1426.25
25-Feb-22,1456.1
24-Feb-22,1419.4
23-Feb-22,1500.9
22-Feb-22,1510.7
21-Feb-22,1522.1
18-Feb-22,1512.35
17-Feb-22,1506.5
16-Feb-22,1515.75
15-Feb-22,1517.8
14-Feb-22,1473.7
11-Feb-22,1518.85
10-Feb-22,1525.1
09-Feb-22,1497.6
08-Feb-22,1461.85
07-Feb-22,1468.15
04-Feb-22,1524
03-Feb-22,1515.35
02-Feb-22,1531.2
01-Feb-22,1497
31-Jan-22,1485.7
28-Jan-22,1463.25
27-Jan-22,1474.95
25-Jan-22,1488.05
24-Jan-22,1486.65
21-Jan-22,1521.6
20-Jan-22,1509
19-Jan-22,1518.45
18-Jan-22,1529.25
17-Jan-22,1521.5
14-Jan-22,1545.15
13-Jan-22,1528
12-Jan-22,1556.65
11-Jan-22,1565.9
10-Jan-22,1559.15
07-Jan-22,1550.55
06-Jan-22,1539.75
05-Jan-22,1564.85
04-Jan-22,1528.55
03-Jan-22,1519.65
31-Dec-21,1479.4
30-Dec-21,1461.5
29-Dec-21,1453.85
28-Dec-21,1460.8
27-Dec-21,1450.8
24-Dec-21,1438.9
23-Dec-21,1444.1
22-Dec-21,1445.2
21-Dec-21,1441.8
20-Dec-21,1425.65
17-Dec-21,1473.05
16-Dec-21,1500.1
15-Dec-21,1500
14-Dec-21,1502.45
13-Dec-21,1511.15
10-Dec-21,1522.55
09-Dec-21,1526.85
08-Dec-21,1553.8
07-Dec-21,1525.7
06-Dec-21,1503.8
03-Dec-21,1513.55
02-Dec-21,1525.75
01-Dec-21,1504.65
30-Nov-21,1493.55
29-Nov-21,1501.25
26-Nov-21,1489.9
25-Nov-21,1525.95
24-Nov-21,1518.05
23-Nov-21,1515.55
22-Nov-21,1515.35
18-Nov-21,1539.4
17-Nov-21,1530.8
16-Nov-21,1548
15-Nov-21,1557.25
12-Nov-21,1553
11-Nov-21,1548.3
10-Nov-21,1555.25
09-Nov-21,1572.25
08-Nov-21,1600.25
04-Nov-21,1593.95
03-Nov-21,1581.45
02-Nov-21,1606.75
01-Nov-21,1605.3
29-Oct-21,1582.85
28-Oct-21,1593.6
27-Oct-21,1642.8
26-Oct-21,1652.75
25-Oct-21,1657
22-Oct-21,1680.75
21-Oct-21,1676.3
20-Oct-21,1673.85
19-Oct-21,1688.7
18-Oct-21,1670.3
14-Oct-21,1687.4
13-Oct-21,1639.4
12-Oct-21,1629.6
11-Oct-21,1633.8
08-Oct-21,1602.65
07-Oct-21,1610.5
06-Oct-21,1614.9
05-Oct-21,1595.45
04-Oct-21,1585.75
01-Oct-21,1582.7
30-Sep-21,1594.95
29-Sep-21,1593.85
28-Sep-21,1615.05
27-Sep-21,1625.1
24-Sep-21,1601.55
23-Sep-21,1570
