Date,Underlying Value
27-Feb-23,17428.59961
24-Feb-23,17591.34961
23-Feb-23,17574.65039
22-Feb-23,17755.34961
21-Feb-23,17905.80078
20-Feb-23,17965.55078
17-Feb-23,17974.84961
16-Feb-23,18094.75
15-Feb-23,17896.59961
14-Feb-23,17840.34961
13-Feb-23,17859.09961
10-Feb-23,17847.55078
09-Feb-23,17885.5
08-Feb-23,17750.30078
07-Feb-23,17790.09961
06-Feb-23,17818.55078
03-Feb-23,17721.75
02-Feb-23,17517.09961
01-Feb-23,17811.59961
31-Jan-23,17731.44922
30-Jan-23,17541.94922
27-Jan-23,17877.19922
25-Jan-23,18093.34961
24-Jan-23,18183.94922
23-Jan-23,18118.44922
20-Jan-23,18115.59961
19-Jan-23,18119.80078
18-Jan-23,18074.30078
17-Jan-23,17922.80078
16-Jan-23,18033.15039
13-Jan-23,17867.5
12-Jan-23,17920.84961
11-Jan-23,17924.25
10-Jan-23,18121.30078
09-Jan-23,17952.55078
06-Jan-23,18008.05078
05-Jan-23,18101.94922
04-Jan-23,18230.65039
03-Jan-23,18163.19922
02-Jan-23,18131.69922
30-Dec-22,18259.09961
29-Dec-22,18045.69922
28-Dec-22,18084.75
27-Dec-22,18089.80078
26-Dec-22,17830.40039
23-Dec-22,17977.65039
22-Dec-22,18288.80078
21-Dec-22,18435.15039
20-Dec-22,18340.30078
19-Dec-22,18288.09961
16-Dec-22,18319.09961
15-Dec-22,18614.40039
14-Dec-22,18671.25
13-Dec-22,18524.40039
12-Dec-22,18402.15039
09-Dec-22,18662.40039
08-Dec-22,18570.84961
07-Dec-22,18638.84961
06-Dec-22,18600.65039
05-Dec-22,18719.55078
02-Dec-22,18752.40039
01-Dec-22,18871.94922
30-Nov-22,18625.69922
29-Nov-22,18552.44922
28-Nov-22,18430.55078
25-Nov-22,18528.44922
24-Nov-22,18326.09961
23-Nov-22,18325.19922
22-Nov-22,18179.15039
21-Nov-22,18246.40039
18-Nov-22,18382.94922
17-Nov-22,18358.69922
16-Nov-22,18398.25
15-Nov-22,18362.75
14-Nov-22,18376.40039
11-Nov-22,18272.34961
10-Nov-22,18044.34961
09-Nov-22,18288.25
07-Nov-22,18211.75
04-Nov-22,18053.40039
03-Nov-22,17968.34961
02-Nov-22,18177.90039
01-Nov-22,18130.69922
31-Oct-22,17910.19922
28-Oct-22,17756.40039
27-Oct-22,17771.40039
25-Oct-22,17808.30078
24-Oct-22,17736.34961
21-Oct-22,17622.84961
20-Oct-22,17423.09961
19-Oct-22,17568.15039
18-Oct-22,17438.75
17-Oct-22,17144.80078
14-Oct-22,17322.30078
13-Oct-22,17087.34961
12-Oct-22,17025.55078
11-Oct-22,17256.05078
10-Oct-22,17094.34961
07-Oct-22,17287.19922
06-Oct-22,17379.25
04-Oct-22,17147.44922
03-Oct-22,17102.09961
30-Sep-22,16798.05078
29-Sep-22,16993.59961
28-Sep-22,16870.55078
27-Sep-22,17110.90039
26-Sep-22,17156.30078
23-Sep-22,17593.84961
22-Sep-22,17609.65039
21-Sep-22,17766.34961
20-Sep-22,17770.40039
19-Sep-22,17540.65039
16-Sep-22,17796.80078
15-Sep-22,18046.34961
14-Sep-22,17771.15039
13-Sep-22,18044.44922
12-Sep-22,17890.84961
09-Sep-22,17923.34961
08-Sep-22,17748.15039
07-Sep-22,17519.40039
06-Sep-22,17695.69922
05-Sep-22,17546.44922
02-Sep-22,17598.40039
01-Sep-22,17485.69922
30-Aug-22,17414.94922
29-Aug-22,17188.65039
26-Aug-22,17619.30078
25-Aug-22,17679
24-Aug-22,17525.44922
23-Aug-22,17357.34961
22-Aug-22,17682.90039
19-Aug-22,17966.55078
18-Aug-22,17898.65039
17-Aug-22,17868.15039
16-Aug-22,17797.19922
12-Aug-22,17659.65039
11-Aug-22,17711.65039
10-Aug-22,17566.09961
08-Aug-22,17401.5
05-Aug-22,17423.65039
04-Aug-22,17463.09961
03-Aug-22,17349.25
02-Aug-22,17310.15039
01-Aug-22,17243.19922
29-Jul-22,17079.5
28-Jul-22,16774.84961
27-Jul-22,16475.34961
26-Jul-22,16632.90039
25-Jul-22,16662.55078
22-Jul-22,16661.25
21-Jul-22,16523.55078
20-Jul-22,16562.80078
19-Jul-22,16187.0498
18-Jul-22,16151.40039
15-Jul-22,16010.7998
14-Jul-22,16018.84961
13-Jul-22,16128.2002
12-Jul-22,16126.2002
11-Jul-22,16136.15039
08-Jul-22,16273.65039
07-Jul-22,16113.75
06-Jul-22,15818.2002
05-Jul-22,15909.15039
04-Jul-22,15710.5
01-Jul-22,15703.7002
30-Jun-22,15774.5
29-Jun-22,15701.7002
28-Jun-22,15757.4502
27-Jun-22,15926.2002
24-Jun-22,15657.40039
23-Jun-22,15451.5498
22-Jun-22,15545.65039
21-Jun-22,15455.9502
20-Jun-22,15334.5
17-Jun-22,15272.65039
16-Jun-22,15832.25
15-Jun-22,15729.25
14-Jun-22,15674.25
13-Jun-22,15877.5498
10-Jun-22,16283.9502
09-Jun-22,16263.84961
08-Jun-22,16474.94922
07-Jun-22,16469.59961
06-Jun-22,16530.69922
03-Jun-22,16761.65039
02-Jun-22,16481.65039
01-Jun-22,16594.40039
31-May-22,16578.44922
30-May-22,16527.90039
27-May-22,16296.59961
26-May-22,16105
25-May-22,16196.34961
24-May-22,16225.5498
23-May-22,16290.9502
20-May-22,16043.7998
19-May-22,15917.40039
18-May-22,16318.15039
17-May-22,15912.59961
16-May-22,15845.09961
13-May-22,15977
12-May-22,16021.09961
11-May-22,16270.0498
10-May-22,16248.90039
09-May-22,16227.7002
06-May-22,16415.55078
05-May-22,16854.75
04-May-22,17096.59961
02-May-22,16924.44922
29-Apr-22,17329.25
28-Apr-22,17189.5
27-Apr-22,17073.34961
26-Apr-22,17121.30078
25-Apr-22,17009.05078
22-Apr-22,17242.75
21-Apr-22,17234.59961
20-Apr-22,17045.25
19-Apr-22,17258.94922
18-Apr-22,17183.44922
13-Apr-22,17599.90039
12-Apr-22,17584.84961
11-Apr-22,17740.90039
08-Apr-22,17698.15039
07-Apr-22,17723.30078
06-Apr-22,17842.75
05-Apr-22,18080.59961
04-Apr-22,17809.09961
01-Apr-22,17436.90039
31-Mar-22,17519.19922
30-Mar-22,17468.15039
29-Mar-22,17297.19922
28-Mar-22,17181.84961
25-Mar-22,17289
24-Mar-22,17094.94922
