Date,Underlying Value
28-Feb-23,2372.8
27-Feb-23,2401
24-Feb-23,2399.1
23-Feb-23,2394.5
22-Feb-23,2431.55
21-Feb-23,2463.6
20-Feb-23,2474.15
17-Feb-23,2500.3
16-Feb-23,2522.4
15-Feb-23,2524.3
14-Feb-23,2506.9
13-Feb-23,2519.05
10-Feb-23,2468.5
09-Feb-23,2462.55
08-Feb-23,2466.75
07-Feb-23,2446.9
06-Feb-23,2458
03-Feb-23,2463.1
02-Feb-23,2308.1
01-Feb-23,2345.9
31-Jan-23,2377.15
30-Jan-23,2335.55
27-Jan-23,2331.25
25-Jan-23,2356.6
24-Jan-23,2370.75
23-Jan-23,2364.7
20-Jan-23,2371.3
19-Jan-23,2385.05
18-Jan-23,2424.1
17-Jan-23,2407.95
16-Jan-23,2405.85
13-Jan-23,2417.2
12-Jan-23,2446.6
11-Jan-23,2437.4
10-Jan-23,2468.2
09-Jan-23,2484.65
06-Jan-23,2538.1
05-Jan-23,2562.1
04-Jan-23,2597.55
03-Jan-23,2613.6
02-Jan-23,2565.75
30-Dec-22,2597.5
29-Dec-22,2553.25
28-Dec-22,2580.15
27-Dec-22,2503.55
26-Dec-22,2481.1
23-Dec-22,2483.05
22-Dec-22,2483
21-Dec-22,2489.6
20-Dec-22,2508.15
19-Dec-22,2521.8
16-Dec-22,2482.85
15-Dec-22,2522.7
14-Dec-22,2591.1
13-Dec-22,2575.9
12-Dec-22,2584.65
09-Dec-22,2615.45
08-Dec-22,2583.5
07-Dec-22,2596.85
06-Dec-22,2617
05-Dec-22,2615.65
02-Dec-22,2617.9
01-Dec-22,2638.7
30-Nov-22,2653
29-Nov-22,2613.75
28-Nov-22,2592.25
25-Nov-22,2595.4
24-Nov-22,2610.2
23-Nov-22,2601.75
22-Nov-22,2606.2
21-Nov-22,2573.35
18-Nov-22,2565.8
17-Nov-22,2582
16-Nov-22,2644.3
15-Nov-22,2656.65
14-Nov-22,2629.8
11-Nov-22,2651.8
10-Nov-22,2641
09-Nov-22,2718.1
07-Nov-22,2741.55
04-Nov-22,2769.7
03-Nov-22,2763.65
01-Nov-22,2754.95
31-Oct-22,2761.5
28-Oct-22,2736.4
27-Oct-22,2703.8
25-Oct-22,2670.3
21-Oct-22,2665.65
20-Oct-22,2631.5
19-Oct-22,2644.55
18-Oct-22,2641.1
17-Oct-22,2625
14-Oct-22,2617.8
13-Oct-22,2598.65
12-Oct-22,2621.35
11-Oct-22,2624.5
10-Oct-22,2680.1
07-Oct-22,2730.5
06-Oct-22,2592.85
04-Oct-22,2585.1
03-Oct-22,2574.2
30-Sep-22,2606.95
29-Sep-22,2531.5
28-Sep-22,2576.95
27-Sep-22,2600.35
26-Sep-22,2655.5
23-Sep-22,2672.45
22-Sep-22,2737.6
21-Sep-22,2666.65
20-Sep-22,2684
19-Sep-22,2619.8
16-Sep-22,2611.8
15-Sep-22,2656.15
14-Sep-22,2700.6
13-Sep-22,2705.55
12-Sep-22,2661.15
09-Sep-22,2603.45
08-Sep-22,2626.7
07-Sep-22,2637.75
06-Sep-22,2631.65
05-Sep-22,2627.35
02-Sep-22,2612.6
01-Sep-22,2622
30-Aug-22,2604.65
29-Aug-22,2531.7
26-Aug-22,2532.9
25-Aug-22,2466.45
24-Aug-22,2460.7
23-Aug-22,2480.2
22-Aug-22,2417.6
19-Aug-22,2440.6
18-Aug-22,2478.7
17-Aug-22,2492.2
16-Aug-22,2493.85
12-Aug-22,2471.95
11-Aug-22,2472.35
10-Aug-22,2433.6
08-Aug-22,2446.95
05-Aug-22,2432.8
04-Aug-22,2423.65
03-Aug-22,2416.4
02-Aug-22,2384.95
01-Aug-22,2376.25
29-Jul-22,2352.05
28-Jul-22,2334.65
27-Jul-22,2303.55
26-Jul-22,2293.2
25-Jul-22,2328.85
22-Jul-22,2325
21-Jul-22,2288.6
20-Jul-22,2271.2
19-Jul-22,2241.2
18-Jul-22,2237.45
15-Jul-22,2189.7
14-Jul-22,2127.45
13-Jul-22,2111.4
12-Jul-22,2130
11-Jul-22,2163.6
08-Jul-22,2144.35
07-Jul-22,2127.5
06-Jul-22,2013.55
05-Jul-22,1954.25
04-Jul-22,1962.5
01-Jul-22,1946.2
30-Jun-22,1941.25
29-Jun-22,1936.15
28-Jun-22,1968.05
27-Jun-22,2040.3
24-Jun-22,2045.6
23-Jun-22,2041.4
22-Jun-22,2031.2
21-Jun-22,2078.1
20-Jun-22,1961.7
17-Jun-22,1936.45
16-Jun-22,2060.95
15-Jun-22,2105.05
14-Jun-22,2102
13-Jun-22,2102.4
10-Jun-22,2142.25
09-Jun-22,2139.7
08-Jun-22,2128.85
07-Jun-22,2100.8
06-Jun-22,2198.55
03-Jun-22,2204.4
02-Jun-22,2220.95
01-Jun-22,2197.6
31-May-22,2216
30-May-22,2255.9
27-May-22,2149.2
26-May-22,2141.95
25-May-22,2113.4
24-May-22,2140.25
23-May-22,2151.3
20-May-22,2137.05
19-May-22,2111.95
18-May-22,2166.75
17-May-22,2176.35
16-May-22,2109.6
13-May-22,2091.7
12-May-22,2048.55
11-May-22,2114.7
10-May-22,2137.35
09-May-22,2183.2
06-May-22,2208.75
05-May-22,2262
04-May-22,2289.95
02-May-22,2386.55
29-Apr-22,2458.2
28-Apr-22,2513.2
27-Apr-22,2492.35
26-Apr-22,2548.2
25-Apr-22,2453.9
22-Apr-22,2512.7
21-Apr-22,2521
20-Apr-22,2482.7
19-Apr-22,2452.6
18-Apr-22,2493.45
13-Apr-22,2461.35
12-Apr-22,2488.2
11-Apr-22,2489.85
08-Apr-22,2509.95
07-Apr-22,2458.35
06-Apr-22,2540.05
05-Apr-22,2549.2
04-Apr-22,2517
01-Apr-22,2520.85
31-Mar-22,2536.15
30-Mar-22,2523.15
29-Mar-22,2538.8
28-Mar-22,2535.9
25-Mar-22,2523.9
24-Mar-22,2618.5
23-Mar-22,2690
22-Mar-22,2712.75
21-Mar-22,2707.25
17-Mar-22,2703
16-Mar-22,2587.3
15-Mar-22,2556.95
14-Mar-22,2539
11-Mar-22,2493.6
10-Mar-22,2467.8
09-Mar-22,2433.65
08-Mar-22,2371.25
07-Mar-22,2389.7
04-Mar-22,2441
03-Mar-22,2574.25
02-Mar-22,2592.65
28-Feb-22,2546.55
25-Feb-22,2468.45
24-Feb-22,2406.6
23-Feb-22,2495.7
22-Feb-22,2450.1
21-Feb-22,2454.35
18-Feb-22,2488.95
17-Feb-22,2493.2
16-Feb-22,2488.05
15-Feb-22,2495.9
14-Feb-22,2398
11-Feb-22,2442.25
10-Feb-22,2491.85
09-Feb-22,2484.8
08-Feb-22,2443.65
07-Feb-22,2409.2
04-Feb-22,2471.15
03-Feb-22,2474.95
02-Feb-22,2464
01-Feb-22,2431.8
31-Jan-22,2360.3
28-Jan-22,2315.6
27-Jan-22,2310.05
25-Jan-22,2376.5
24-Jan-22,2403.05
21-Jan-22,2528.15
20-Jan-22,2564.3
19-Jan-22,2588.9
18-Jan-22,2600.6
17-Jan-22,2597.55
14-Jan-22,2592.75
13-Jan-22,2619.25
12-Jan-22,2612.95
11-Jan-22,2653.35
10-Jan-22,2657.5
07-Jan-22,2572.7
06-Jan-22,2595.9
05-Jan-22,2576.15
04-Jan-22,2583
03-Jan-22,2523.85
31-Dec-21,2522.4
